	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.127282269079458	1.1357375561348	0.0794039768622939	1.6029709607643	0.108941065478055	0.972051331432959	1.32698732536432
BRCA	-0.0195826424954601	0.980607851959951	0.106054713890595	-0.184646601523637	0.853506231636282	0.79656538539355	1.20717241416463
CESC	0.249191301498367	1.28298744701604	0.130945737435692	1.9030119374504	0.0570389875906754	0.992570111302797	1.65837835580219
CHOL	-0.274958962534189	0.759603294779602	0.299121721141641	-0.919220982965627	0.357979998062327	0.422643281034948	1.36521078491324
COAD	-0.216590817169449	0.805259400222379	0.154971695404437	-1.39761532971683	0.162228612419705	0.594324531917269	1.09105828015319
ESCA	0.0860160033125532	1.08982376895598	0.156915026713996	0.548169318859003	0.583575646919511	0.801290442565746	1.48225385489227
GBM	0.0750166434833494	1.07790209078084	0.159918156627171	0.469093973226826	0.639002466736655	0.787873934138935	1.47469394146097
HNSC	-0.0151946067151561	0.984920248857194	0.0789048514112504	-0.192568726046541	0.847296739458701	0.84379536384241	1.14964828935714
KICH	-0.947563134348084	0.387684608598916	0.445960765469321	-2.12476793412731	0.0336059817058043	0.1617618360712	0.929139773601113
KIRC	-0.442541101328353	0.64240193685256	0.0871800630487925	-5.07617321956596	3.85112233040276e-07	0.541500718823952	0.762104710346815
KIRP	-0.279843948861733	0.755901691571749	0.197781808924871	-1.41491247543415	0.15709415973499	0.512995004768749	1.11382637649387
LIHC	-0.110225292719732	0.895632333120892	0.0909054267762116	-1.21252709138126	0.225310678680205	0.74946425437866	1.07030758497828
LUAD	-0.00200503598574079	0.997996972756154	0.0903642276314882	-0.0221883818220355	0.982297685273498	0.836009194598596	1.1913720136878
LUSC	0.190920996394298	1.21036382519751	0.0786844195755101	2.42641424343328	0.0152488537104237	1.03738421602378	1.4121870823926
PAAD	0.580995182974744	1.7878167505186	0.159914841304334	3.63315360998328	0.00027997822467353	1.30678229648219	2.44592289170063
PCPG	-0.284209582367099	0.752608894622321	0.421142729153774	-0.674853351827247	0.499768940179101	0.329679547709738	1.71809307613868
PRAD	-0.0409514952734702	0.95987568732638	0.367664982249227	-0.111382637048939	0.9113129280104	0.466936680239457	1.97320402125572
READ	-0.296401728747549	0.743488687238676	0.287586715820395	-1.03065166936521	0.302704196703197	0.4231361288111	1.30637728715116
SARC	0.143679244896381	1.15451373295612	0.137568759966748	1.04441767833852	0.296292188030751	0.881658426050358	1.51181219415708
STAD	0.213741267329582	1.23830222410107	0.116651849304167	1.83230071880177	0.0669066300774025	0.985218183707832	1.55639879934289
THCA	-0.0814110948506037	0.921814660281014	0.215516551445185	-0.377748689391542	0.705617294114242	0.604220685910928	1.40634421780499
THYM	0.0543721997820646	1.0558775264126	0.578521768334475	0.0939847085419076	0.925121303780128	0.339762093794844	3.28134706944789
UCEC	0.180448940344956	1.1977549629639	0.113091571840764	1.5956002503797	0.110578071602416	0.959630976962422	1.49496732154867
