	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.250322970177935	0.7785492942578	0.134958175802665	-1.85481886287463	0.0636220974696948	0.597598512571355	1.01429135253569
BRCA	0.0505117162647808	1.05180918655774	0.155630354877495	0.324562109394027	0.745512508245421	0.77528996269076	1.42695329253028
CESC	-0.50694014427123	0.60233582265372	0.241868798393523	-2.09593030452168	0.0360883739789906	0.374938120695414	0.9676488551738
CHOL	0.380118168814814	1.46245739608106	0.644625013709291	0.589673315075914	0.555409688808877	0.413406610378973	5.17355451426272
COAD	0.459829795125359	1.58380439082421	0.210236953705895	2.18719776433131	0.0287280900330779	1.0489324552061	2.39141837583926
ESCA	-0.250543656585311	0.778377497968335	0.282843955136591	-0.885801701027403	0.375724393058485	0.447129229601206	1.35502554794689
GBM	0.103106180155707	1.10860911511534	0.193957861655799	0.531590621156057	0.595009561961189	0.758020959089591	1.62134589470045
HNSC	-0.0524236966321648	0.948926724598365	0.139063391473729	-0.376976974864504	0.706190716143029	0.722539683323486	1.24624563804593
KICH	-0.446960849205022	0.639568947417381	0.568286620010745	-0.786506022606287	0.431571092118698	0.209971775994767	1.94811153338424
KIRC	0.493421790736659	1.63791123149628	0.1504381559851	3.27989789229754	0.0010384466297608	1.21965547717435	2.19959919212347
KIRP	0.348882817566385	1.41748307649285	0.263797372337258	1.32254091265302	0.185988095101406	0.845226591939527	2.37718298419011
LIHC	0.152075534272444	1.16424817374968	0.107614604932019	1.41314958474745	0.157611746449867	0.942852696747561	1.43763051721151
LUAD	0.0624695686405053	1.06446206539719	0.136252185244053	0.458484893498117	0.646604113170178	0.814989697233295	1.39029915656137
LUSC	-0.0144083945653324	0.985694909607396	0.138688630946377	-0.103890235753378	0.91725645591609	0.751087504807919	1.29358356863413
PAAD	-0.488242410042692	0.613704086976003	0.23309418542808	-2.09461428283177	0.0362052945113143	0.388641241800386	0.969101232350672
PCPG	-0.103914594183004	0.90130227059096	0.865542518194558	-0.120057180321724	0.904437852126381	0.165241579622822	4.91611000588755
PRAD	0.21129647433158	1.23527852915435	0.786242262322319	0.268742198756239	0.788128076026381	0.264553959467083	5.76787074993521
READ	0.749398358565431	2.11572672475667	0.433643405442447	1.72814425207462	0.0839623654914922	0.904360605504453	4.94968439204926
SARC	0.114837956906413	1.12169166045776	0.143844797544771	0.798346265325793	0.424669576748143	0.846121201337592	1.48701176516021
STAD	-0.127326239199701	0.880446389612693	0.16836468027375	-0.75625267124124	0.4494977186243	0.632980952071554	1.22465903981009
THCA	-1.60932117128824	0.200023349592074	0.701375072339132	-2.29452290900652	0.0217604807062632	0.0505905209760325	0.790846577780604
THYM	-0.295361567308198	0.744262437844745	0.80356180330436	-0.367565464278702	0.713197270223703	0.154075311385432	3.59516765798325
UCEC	-0.366934173375316	0.692855251865928	0.169935453857099	-2.1592561472421	0.0308303002517731	0.49658453774377	0.966700256555102
