	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.117253336508003	1.12440424625713	0.191122353073799	0.613498811741438	0.539546568226051	0.773105628573893	1.63533269229098
BRCA	0.257707079682407	1.29395973600962	0.188563190530621	1.36668815879289	0.17172307097441	0.894160506396221	1.87251817368029
CESC	0.688482798149987	1.99069295785594	0.357712378406994	1.92468262131721	0.0542690759565967	0.987458725194401	4.01318895802663
CHOL	0.842751590149246	2.3227494462796	0.802900520482038	1.04963388196994	0.293886473099818	0.481473294140876	11.2055332161655
COAD	-0.165593907803434	0.847390282908257	0.205754303675882	-0.804813823307864	0.420927123516104	0.566167712591097	1.26829961440409
ESCA	-0.232660258108777	0.792422746999686	0.253370960570556	-0.918259367943584	0.358483094095117	0.482266595299365	1.302047075379
GBM	-0.179157900520155	0.835973888263204	0.201403258515454	-0.889548172361909	0.373708545873469	0.563323602483948	1.2405877168582
HNSC	0.510246590532812	1.66570189062369	0.214327560245329	2.38068585276089	0.0172804416239694	1.09436281693774	2.53532260552413
KICH	0.473252828026457	1.60520717303816	0.606378778789367	0.780457437793757	0.435121670722948	0.489080716168225	5.26843521568509
KIRC	-0.048874321659346	0.952300805763075	0.214337688612863	-0.228024861029564	0.819626913285546	0.625647308334957	1.44950168022058
KIRP	0.130228036048027	1.13908810686057	0.361250945051805	0.360491890282394	0.718479320159568	0.561125435570909	2.31235590643126
LIHC	0.050949964536091	1.0522702411363	0.166434122516119	0.306126915357496	0.759508015549133	0.759378516718719	1.45813008401343
LUAD	-0.0686601936689983	0.933643884283932	0.155396025827077	-0.441840087631344	0.658604927601908	0.688506301995132	1.26606089172289
LUSC	0.133719253116562	1.1430718607302	0.151654501982932	0.881736126314353	0.377919519971521	0.849151121700732	1.53872879090855
PAAD	0.327269935104799	1.38717587411154	0.308117126913608	1.06216080353287	0.288162690657971	0.758336138868042	2.53747224626462
PCPG	-0.0976257196812686	0.906988308106818	1.03372437835949	-0.0944407636358543	0.924759035790339	0.119589734725099	6.8787491914205
PRAD	-0.679716887501434	0.506760442273387	0.92422453754257	-0.735445619425708	0.462068147340813	0.0828135408013725	3.10101637205763
READ	-0.325102328820183	0.722453422053155	0.479596865431659	-0.677865833271399	0.497856764998336	0.28221250946922	1.84945361925298
SARC	-0.320735324429838	0.725615278214042	0.264951585599982	-1.21054314018742	0.226070547447192	0.431697188160616	1.21964549785705
STAD	-0.0236211909495973	0.976655605676082	0.173490333280312	-0.136152778676332	0.891700504604953	0.695130281322304	1.37219769837109
THCA	-1.33763854772218	0.262464735291398	0.827894126713146	-1.61571208752596	0.106156576348137	0.0518043467527168	1.32976751160308
THYM	-0.391441481438362	0.67608161266065	1.10675291826157	-0.353684616484427	0.723575252642095	0.0772554866589081	5.91655514379082
UCEC	-0.485086514827942	0.615643932131366	0.212917383119107	-2.27828516263787	0.0227095930923228	0.405596312821237	0.934469666486388
