	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.108135325504441	1.11419851466082	0.144610737800223	0.747768299570037	0.454599926196368	0.83920814828409	1.47929727876298
BRCA	-0.156977749396651	0.854723076710258	0.1860254568168	-0.84385090128414	0.398752727566953	0.593581386280262	1.23075210029601
CESC	-0.254886738186836	0.775004271379285	0.23390318334931	-1.08971042863572	0.275840720824917	0.490010453995304	1.22575266661942
CHOL	0.284283947572096	1.32881018961651	0.577519131945314	0.492250268167765	0.62254243231061	0.428427927871454	4.12143187957265
COAD	0.244787162599237	1.27734941654134	0.184012092587629	1.33027758750511	0.1834268288095	0.89059107133639	1.83206589921248
ESCA	-0.338257186998106	0.713011886928308	0.225559198445334	-1.49963818513961	0.133708150754581	0.458247846197819	1.10941263580234
GBM	0.276642540894222	1.31869490727312	0.205317997893296	1.34738573204865	0.177856033411132	0.881814695940062	1.97202004737997
HNSC	-0.254980217926426	0.774931827567883	0.135115337598755	-1.88713008055109	0.0591428316970348	0.594638623520682	1.00988955917831
KICH	-2.34115693046638	0.0962162582929151	0.735835608110231	-3.18163038681822	0.001464485854891	0.0227459488742219	0.406998556581678
KIRC	0.792412261406893	2.20871801036454	0.184010787740394	4.30633590094101	1.65980956203961e-05	1.53996200596343	3.16789325348104
KIRP	-0.000857789734535922	0.999142578061907	0.336027560241177	-0.00255273625151538	0.997963213369222	0.517130661815662	1.93043260631884
LIHC	0.0662937866984928	1.06854059407064	0.158698694938953	0.41773366015388	0.676141859187665	0.782900285987868	1.45839645432769
LUAD	0.147221116491768	1.15861012251389	0.147764203529703	0.996324637327836	0.319092436803763	0.867281735427633	1.54779855398402
LUSC	0.108963533883982	1.11512168544325	0.126706062578563	0.859970956925761	0.38980505230598	0.869901070913465	1.42946872342625
PAAD	-0.817269615287439	0.441635845566718	0.289722432091596	-2.82087102951372	0.00478934534098902	0.250294977241272	0.779249436961011
PCPG	0.0377631705540489	1.0384852598641	1.07714219600475	0.035058667921577	0.972032959356186	0.125757888564871	8.57561817602157
PRAD	1.27606120095216	3.5825011472312	0.917272414375804	1.39114747260824	0.164180711796175	0.593475292928799	21.6256929695853
READ	-0.341224256387703	0.710899466582781	0.473030080339834	-0.721358472895763	0.470688989544743	0.281296451712185	1.79660300907305
SARC	0.0451428916080877	1.04617733919114	0.210590636762007	0.214363241890496	0.830263804110736	0.692389118156283	1.5807397839404
STAD	-0.166289723884165	0.84680086021143	0.183314738149121	-0.907126865865488	0.364339712465302	0.591212356715384	1.2128834736112
THCA	0.338245049796904	1.4024841397532	0.802842006610044	0.421309606388342	0.673529016371915	0.290748580895952	6.7651637583166
THYM	1.3135128219554	3.71921573433636	1.18626186213983	1.10727054782493	0.2681769740286	0.363666622206632	38.0363905672807
UCEC	-0.0587025031381056	0.942987263183588	0.199504295192139	-0.294241801067844	0.768573141013758	0.637804329356725	1.39419715043848
