	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.193648014375644	1.21366901371877	0.150477071546891	1.28689382631493	0.198131297421793	0.903678497363997	1.62999615367388
BRCA	-0.196123562777244	0.821910670838425	0.165624005975209	-1.18414937268575	0.236353938835228	0.594080379670392	1.13711405721373
CESC	0.227776383079492	1.25580447490261	0.244610922743976	0.931178299498492	0.351761341139931	0.77751509857844	2.02831415373
CHOL	0.699718309742696	2.0131855328397	0.476870445155186	1.46731322280832	0.142290868318893	0.790625726595146	5.12621314144313
COAD	0.049790177515741	1.05105053920269	0.289767966558747	0.171827749309365	0.863572949176467	0.595624644865168	1.85470370556668
ESCA	0.421478464356866	1.52421338574625	0.254049547135272	1.65904040809978	0.0971076500661413	0.92639969785138	2.50780138494901
GBM	-0.434533424398738	0.647566735442637	0.273496450200377	-1.5888082791582	0.112103683539097	0.378864515504286	1.10684072984156
HNSC	0.0751801211922934	1.07807831814934	0.155627462572326	0.483077471994086	0.629040729139258	0.794657479586534	1.46258342735091
KICH	-0.587073040516692	0.555952155042161	0.739088714089226	-0.794320126021865	0.427009090357893	0.130594222465842	2.36674175059211
KIRC	0.459711518478765	1.58361707482978	0.195034504609568	2.35707788936652	0.0184193829407515	1.08052919197823	2.32093964541678
KIRP	0.958339387358377	2.60736305630273	0.357293726363378	2.6822172253417	0.00731359528434399	1.29441201786335	5.25206967607899
LIHC	0.314567032323398	1.36966616138335	0.143180794555437	2.19699180536118	0.02802103146352	1.03452029037865	1.81338675624426
LUAD	-0.0373009463088388	0.963386164208265	0.12942742092451	-0.288199718748896	0.773193864063265	0.747535091302575	1.24156432545619
LUSC	0.0427334026714806	1.0436596208919	0.146891614702536	0.29091791766343	0.771114097396637	0.782572372695909	1.39185261617135
PAAD	0.404612118999444	1.49872106187461	0.350617449769472	1.15399880771899	0.248500657737085	0.753832220549772	2.97966146852734
PCPG	-0.509719463759649	0.600664063216179	1.08757119268095	-0.468676871169369	0.639300621534079	0.0712671467933646	5.0626036409944
PRAD	-0.587815680343401	0.555539436099812	1.24035507123384	-0.473909200660318	0.635564657903629	0.0488565440174206	6.31694425524761
READ	0.891796528870185	2.43950836407533	0.589500346801013	1.51280068571565	0.130330294604603	0.768278547346625	7.74615024582807
SARC	0.0387814220108925	1.03954323754511	0.150050958872669	0.258455009566462	0.796055766748179	0.774673945819948	1.39497416759249
STAD	0.272309672101335	1.31299353582894	0.187282037300796	1.45400848915358	0.145943952622548	0.909594506565886	1.89529731400561
THCA	0.773297023635605	2.16689880580621	0.860132676050893	0.899043886096766	0.368629285211058	0.401506304500912	11.6945870636851
THYM	-1.03857300593005	0.353959419737191	0.358405448834698	-2.89776009072075	0.00375837963992024	0.175338869992176	0.714543619599463
UCEC	0.318610691255986	1.37521583712747	0.213867067859633	1.48976041259938	0.136287243537324	0.904329893041765	2.09129280502381
