	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00149999991772122	1.00150112548031	0.100217684185755	0.0149674174763503	0.988058174557287	0.822897976219916	1.21886860014622
BRCA	0.136254789699531	1.14597383873102	0.106236966761368	1.28255534634747	0.199647902862968	0.930562684239146	1.41124940995206
CESC	0.00857729291834751	1.008614183293	0.155086344902594	0.0553065643769909	0.955894232556257	0.74424398760182	1.36689390534127
CHOL	0.250929687681335	1.28521971437606	0.39186881129218	0.640341054073426	0.521950895968449	0.596235790138824	2.77036323806776
COAD	-0.0253237856871311	0.97499417175715	0.173201824519096	-0.146209693560931	0.883755853441965	0.694340278498398	1.36908899627174
ESCA	0.00294956439950877	1.00295391864457	0.170881608342635	0.0172608651575575	0.98622850602875	0.717507245190879	1.40196014697649
GBM	-0.191471740309397	0.82574296001733	0.149125119948609	-1.28396704978599	0.199153484811946	0.616466310292211	1.10606439416775
HNSC	-0.0634157080693864	0.938553228430094	0.108369318188949	-0.585181388322635	0.558425757968171	0.758952816590398	1.16065471178291
KICH	0.326097212248975	1.38555005476301	0.618281277289333	0.527425338963278	0.597898251069159	0.412420498144469	4.65483399319619
KIRC	-0.403019628376091	0.668298981571069	0.0988195331779226	-4.07833973117908	4.5358453715789e-05	0.550624409685062	0.811121920701592
KIRP	0.376032827088496	1.45649494547479	0.278161414968241	1.35185114416904	0.176422939221196	0.844379257459012	2.51235153807244
LIHC	-0.236456251204801	0.789420417738703	0.119352962919384	-1.98115107845721	0.0475743335854371	0.624762463444581	0.997474452141166
LUAD	-0.0941504616940101	0.910145809857634	0.121308460000926	-0.776124449138104	0.437675509084396	0.717551415762961	1.15443350400281
LUSC	-0.102612461727807	0.902476649962251	0.116753937899577	-0.878877951132295	0.379467454844398	0.717884938856842	1.13453293089564
PAAD	0.346201593301257	1.41368757703918	0.199464798972091	1.73565258173547	0.0826252825837472	0.956243942150411	2.08996102080461
PCPG	-0.158181647655341	0.853694696243479	0.706862972696104	-0.223779790094264	0.822928656363324	0.213609090101931	3.41181470342144
PRAD	0.874993103976838	2.39885875132455	0.65806571163875	1.32964396792212	0.183635604322162	0.660477652178227	8.71266921723725
READ	-0.0487017568022331	0.952465153595472	0.334931357571761	-0.145408173051693	0.884388612085076	0.494031916818974	1.83629809720586
SARC	-0.109112989319958	0.896629102262054	0.113061083227857	-0.965079992202606	0.33450474744075	0.718414455427084	1.11905285444922
STAD	0.0729852946932669	1.07571471808351	0.107984524578884	0.67588661410414	0.499112637127378	0.870523534638071	1.32927153449399
THCA	-0.136389688073124	0.872502562390058	0.470343871084848	-0.289978665520913	0.771832559150951	0.347063771719757	2.19343182264472
THYM	0.663314593382415	1.94121602434891	0.519982209978262	1.27564862922934	0.202079755569538	0.700590442089223	5.37877685278082
UCEC	0.275121376238803	1.31669048010729	0.154239890824527	1.78372387822679	0.0744685441119074	0.973182884789737	1.78144709232092
