	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0511776025409473	1.05250980510046	0.118974958560846	0.43015440526314	0.667083326331587	0.833593811945566	1.32891688248875
BRCA	-0.0612052353329346	0.940630169418269	0.139877081473277	-0.437564429342398	0.661702061302618	0.715081127790825	1.23732130695897
CESC	-0.121012592138044	0.88602280260119	0.226071079759351	-0.535285593658686	0.592452386674288	0.568869758542375	1.37999321451149
CHOL	0.175377606074623	1.19169612335854	0.482696397720633	0.363329013646639	0.716359122315069	0.462693723121071	3.06928661328773
COAD	-0.213024617392394	0.808136242764619	0.182830714614052	-1.16514677439226	0.24395958612074	0.564753326573872	1.15640609118978
ESCA	-0.0240799365773781	0.976207671938808	0.252228699221162	-0.095468662573818	0.923942580186845	0.59544925798038	1.6004410215985
GBM	-0.0138319349002199	0.986263286772407	0.168891500649349	-0.081898348034326	0.934727548105616	0.708324332474091	1.37326253841589
HNSC	-0.208178657104847	0.81206194311561	0.0957866741515552	-2.17335719137157	0.0297534441317866	0.673062498150605	0.979767259754744
KICH	0.167198820097333	1.181989245165	0.689773102199036	0.242396839720617	0.808472682912228	0.305828247368598	4.56824569903733
KIRC	-0.776541158161224	0.459994310450561	0.162510350999374	-4.77841044207833	1.76686428526148e-06	0.334521009326591	0.632530572811673
KIRP	-0.154266715712772	0.857043403582619	0.316110966737234	-0.488014437793945	0.625539614570577	0.46124181657118	1.59249090007677
LIHC	-0.000933076356695617	0.999067358823685	0.177255373722089	-0.00526402295796429	0.995799936751386	0.705853743650396	1.41408272810876
LUAD	-0.0602143398314085	0.941562697564416	0.115051136951038	-0.523370228466616	0.600716637891469	0.751480194593675	1.17972545360844
LUSC	0.0745781421338194	1.07742953287558	0.124954719377615	0.596841339849222	0.550613314580204	0.843387627518229	1.3764185772187
PAAD	-0.357911551342005	0.699134909816413	0.244105845655818	-1.46621458564597	0.142589836239064	0.433289051944255	1.12809132825006
PCPG	0.34699237514351	1.41480593763707	1.16431544648801	0.298022650296499	0.76568587625272	0.144420807503931	13.8600238827678
PRAD	-0.914477448070158	0.400725971518882	0.616777294035728	-1.48267041752867	0.138161997994295	0.119631543468688	1.34229902577309
READ	0.150031950398542	1.1618713643884	0.421394797221112	0.356036551442797	0.721813192244534	0.50870516420924	2.65368854567104
SARC	-0.0843403454975223	0.919118385051977	0.154218684155064	-0.546887985457844	0.584455690404792	0.679360467591856	1.24349096840306
STAD	0.285795062443963	1.33081969236829	0.180195195307529	1.58603042637298	0.112732407661963	0.934838931277835	1.89453069864594
THCA	0.343597309838168	1.41001072372259	0.528351462473553	0.650319596409496	0.515485801443575	0.500597683326379	3.97151306774322
THYM	-0.769111878331765	0.463424462907058	0.695215389814346	-1.10629294115188	0.268599746083162	0.118634373902686	1.81028673019222
UCEC	0.383117532354802	1.46685042232164	0.213090398827703	1.79791081373205	0.0721911422052515	0.966057449700088	2.22724866117762
