,FUS,ZBTB17,ZNF692,NRF1,MTA1,RCOR2,E2F1,MIER2,DMAP1,ZNF205,RFXANK,TRIM28,SMARCA4,ZNF48,CC2D1A,ZNF335,CTBP1,FOXK2,SUPT5H,DRAP1,ZBTB48,ZNF580,SIN3B,KDM1A,TFAP4,KLF16,GATAD2A,MTA2,GTF2F1,MLLT1,ETV4,TARDBP,DNMT3B,RFX1,ZSCAN9,KAT8,ERF,DPF2,THAP11,BRD4,ZNF121,PAF1,SSRP1,EED,ZGPAT,ZNF629,TEAD4,HDAC2,MNT,JUND,HMG20B,PKNOX1,ZFHX2,FOSL1,MTA3,TRIM22,FOXP1,ZNF217,MXI1,KDM6A,ATM,ZNF143,REST,NFIL3,CEBPA,MLX,SP1,PRDM10,ZHX2,SMAD4,CHAMP1,ZBTB33,ARNT,SP3,NCOA1,ZBTB20,IRF2,ZNF24,ZFX,HMG20A,NCOR1,EP300,ZBTB11,CREB1,ATF2,KLF6,MIER3,ATF1,RB1,NBN,THRB,ZXDB,HLF,KLF11,SMAD5,BACH1,ZFP91,KLF9,ELF1,IKZF5,NCOA4
FUS,1,0.400532292534525,0.447887571722745,0.525403402714552,0.425704595743446,0.347275813693376,0.351395999920049,0.331972281128383,0.42896735361077,0.394623262717534,0.38027066547181,0.394358792612655,0.435120186924662,0.443248842667323,0.20244184575356,0.348033545377404,0.314223053977564,0.24090655593335,0.348725320300364,0.303552989597629,0.315939028000395,0.283652619071276,0.355427888841301,0.282858615208456,0.376584205047958,0.215946446784223,0.294162344794771,0.300929254328919,0.390863737308015,0.310526362229062,0.106228169256848,0.418028053259324,0.268748128569085,0.286994570715004,0.295922140653597,0.41607115411896,0.310863141292084,0.3950634283907,0.247456231396176,0.256715749748454,0.183473993603546,0.304241688611313,0.33970013064693,0.199132457341916,0.30161481656245,0.305714528107231,0.136968626496387,0.236523110419571,0.208167853644169,0.0932416100253897,0.191586483616952,0.238775441364302,0.201478412398223,-0.0219984820378582,0.331501125046905,-0.146625298628826,-0.231040689969383,-0.152784142819228,-0.0954595258240549,-0.0976848382742039,-0.081651469623342,-0.0702494437051297,-0.144432998294157,-0.267297725845337,-0.205663126067638,-0.300102331787988,-0.118878859557861,-0.0919566811874418,-0.0383074975488764,-0.108835510567009,-0.0537944810996242,-0.170778516122871,-0.127188272143297,-0.109008185465895,-0.10893529974784,-0.259452010004695,-0.222211294434764,-0.0863800327795287,-0.138234068489178,-0.0464468433257763,-0.205923149797712,-0.171092510923785,-0.207795331436178,-0.126020598600262,-0.19291487578625,-0.298548951106224,-0.175590269046813,-0.233977142529057,-0.246517213040369,-0.193593013714781,-0.318561162492861,-0.205141834348348,-0.187233517357096,-0.265953248250159,-0.217163136667935,-0.344251525725986,-0.247611146918471,-0.321681355633391,-0.286896308919918,-0.22900089187149,-0.50343708960254
ZBTB17,0.400532292534525,1,0.490221918777982,0.396138692516183,0.473007956872163,0.251225195728045,0.287379103157834,0.518790138773322,0.604603861407488,0.543189150439795,0.528225655129536,0.476993839538192,0.410530023875034,0.295840053667697,0.405146175461256,0.435262808459467,0.518633520960918,0.26589333376331,0.518063739173576,0.523159858697395,0.690834172709721,0.417407540173211,0.358259285864848,0.403223484217739,0.256671711667727,0.330717969107038,0.221861247880681,0.431225320835861,0.417035608001869,0.397238604612635,0.0621132614006908,0.389358770849959,0.150007692911125,0.330281353039717,0.173912562797772,0.254685848120117,0.304958115771898,0.279135926622585,0.324763257282703,0.281126383851201,0.085495783796032,0.518559813139569,0.254316783247409,0.132549235051296,0.432760161924744,0.0976289114092311,0.101172535137852,0.0601386267775556,0.185630666141329,0.251757565004317,0.458055794060429,0.161917578840536,0.0344179575451903,0.149433646059511,0.107722678094799,-0.119384207445385,-0.117950245023748,-0.266271452330004,-0.151804452800115,-0.273340744150614,-0.2970291725245,-0.200343470008737,-0.213234155399813,-0.0303623948979859,-0.040072527648928,-0.109406417123546,-0.293385247799438,-0.245346968080237,-0.0727897648314142,-0.158073576610199,-0.279932344323614,-0.357006600578836,-0.193568891378811,-0.424151504416182,-0.208042969087785,-0.247775387622369,-0.163376787146123,-0.25155220976466,-0.323356758964762,-0.371361056871879,-0.34737157353495,-0.281451685505673,-0.353534773699097,-0.373468157563456,-0.389119090859431,-0.295068752595557,-0.421559824944687,-0.39273378869195,-0.358595227371717,-0.44520532168144,-0.180740429144861,-0.427784832850497,-0.191817710571134,-0.310388860573269,-0.439670843639392,-0.272638936423352,-0.403700553592157,-0.232463976378889,-0.420105571270377,-0.398617439025078,-0.47813013131981
ZNF692,0.447887571722745,0.490221918777982,1,0.398772106151641,0.518036129944374,0.237419992970486,0.283515782517546,0.346095349525651,0.556183142309648,0.486911853793663,0.478196225216482,0.366936251406285,0.299357539275338,0.367315688018857,0.379516037606657,0.491329394710058,0.417260086592715,0.26403031528939,0.323272118806552,0.275514600429767,0.612290827361376,0.42670269925782,0.30564591092155,0.279849554790043,0.407979347697833,0.216013797635973,0.0612402463276719,0.274966639066679,0.198258282789017,0.254102395450395,0.13041369603456,0.371122635844907,0.237770315189893,0.232358646619989,0.440904705681392,0.364233876555653,0.143008160361406,0.184261769586279,0.10606814155001,0.17634618774378,0.465649957924461,0.257069346099329,0.100876935807662,0.266679561576259,0.32516267121396,0.126404435403553,0.0301522453679035,0.128153206726148,0.0952021875267262,0.227191866996068,0.451348087165193,0.131426542583323,0.190712183408727,-0.0807126835152391,0.341305827332018,-0.238572393161521,-0.0419554852170587,-0.0480274980558154,-0.0999126475395681,-0.175226136360532,-0.16094350373357,-0.106985234400117,-0.170734394128731,-0.177334756457557,-0.00157778665112897,-0.0858349823813305,-0.120125017014191,-0.089320513862162,-0.0756774458772341,-0.0972237034208481,-0.220143137137698,-0.18380937524784,-0.116977555527777,-0.257605344030745,-0.223456748987208,-0.202441273368624,-0.206475586318862,-0.0717754919300043,-0.128253292598735,-0.387588808672883,-0.314219827407447,-0.29652987528486,-0.18468374426552,-0.297970243761893,-0.199334284967163,-0.36861072683959,-0.202637827778447,-0.271507299983257,-0.345859203254013,-0.265528869563315,-0.129485815012522,-0.21295674312049,-0.186865078492985,-0.362512272536352,-0.259771560818614,-0.411520465452916,-0.453870598646079,-0.358846306814052,-0.372301519913832,-0.168681371954531,-0.476236613213653
NRF1,0.525403402714552,0.396138692516183,0.398772106151641,1,0.364684355352909,0.319076825370043,0.248949727502605,0.361678140638565,0.426368183208848,0.258756835677544,0.371337071464632,0.397188807435109,0.35608287304834,0.367009012597665,0.171525981354702,0.347550928273229,0.238030157936602,0.237973540906158,0.288329779863816,0.215706076455957,0.389228779946388,0.265653746833414,0.281500843492921,0.359010890896218,0.331178754902649,0.0640287200437926,0.213521053989639,0.260710466133587,0.289379506725003,0.284850143623296,0.151725451000638,0.340474431870235,0.240531244302721,0.217964761750772,0.303519071565723,0.315078317789523,0.0996789853145526,0.35263258658497,0.271311663826192,0.182571594782436,0.213606667002667,0.245881646539285,0.268601098526987,0.184432462901733,0.127884449034218,0.175407362256897,0.104502012788203,0.215489621731409,0.134711453277717,0.0549185478238468,0.211977891762265,0.332114466859996,0.174813480780358,-0.0575987112892222,0.276681598499284,-0.113277634365114,-0.0721578101612644,-0.0605292329817014,-0.0903146224553622,-0.0169498302853263,-0.066317543467233,0.0528383532313093,-0.0237314733053813,-0.237296208026402,-0.133633758235393,-0.23897858622311,-0.0417535557592097,-0.034192855984772,0.0149494245563459,0.0749936302576758,-0.0842292309254398,-0.105214299137876,-0.0687787187455619,-0.0248241779805023,-0.0486300248768088,-0.187809732058346,-0.210161619567787,0.0032458023573243,-0.00678356865926748,-0.109142947004284,-0.0944205047628238,-0.0889377310423294,-0.126127884646129,0.0411306094986593,-0.163913407625953,-0.242191391284018,-0.0914710649424855,-0.191358664622094,-0.236600349388174,-0.193748708215723,-0.230236135559061,-0.194163497514762,-0.123360178090552,-0.233833464747111,-0.132699227211964,-0.254867525689456,-0.252040662268142,-0.284859035754937,-0.19763835214705,-0.137206336112349,-0.467450555908527
MTA1,0.425704595743446,0.473007956872163,0.518036129944374,0.364684355352909,1,0.505909872833749,0.312832524794486,0.414772382434409,0.350780103364916,0.428333309750197,0.357683441959566,0.499376915836593,0.472696611869826,0.372012743576741,0.383682959002406,0.491819449539378,0.399589332660047,0.423658271711246,0.347297055861432,0.261909126705969,0.341174696683073,0.483696316519545,0.488757517234362,0.379606099949143,0.472228015108155,0.305950111127353,0.332878868243172,0.369153026817453,0.246146773404118,0.473459167922041,0.263002648344524,0.165712214238654,0.311645926840929,0.478044239623447,0.233935264843102,0.314339518671588,0.418844580180031,0.44677260576243,0.220049466686306,0.468787087993026,0.328259789000391,0.146548176420201,0.273224931823929,0.204195648076297,0.274369288104962,0.248418160314526,0.114739354201214,0.233967700329691,0.393951838419218,0.255679488071012,0.298883947264789,0.255796368106068,0.293440403044562,0.0777293109729613,0.317334997224234,-0.273029460968308,-0.127027442602421,-0.0760029865934132,-0.0873303628859182,-0.077083421906111,-0.1710170308213,-0.0664687616133225,-0.0775497694804745,-0.217456858806689,-0.113270975486711,-0.208205388649168,-0.118165608863345,0.0646228533569216,-0.041431688687818,-0.110707412839142,0.0406968691611535,-0.0729455740314676,-0.183617213124959,-0.117162977081829,-0.0448461183617672,-0.0633776846492429,-0.148962341783287,-0.160668324192053,-0.0590000003180679,-0.126629607567398,-0.133111634480675,0.0176939883066992,-0.129273502018376,-0.16672699704984,-0.136952531023038,-0.381914354051781,-0.206954513089604,-0.147938464777827,-0.203319441997925,-0.291654367901062,-0.159367041614775,-0.159915408753867,-0.267575752140536,-0.350203125667072,-0.265166375368097,-0.371893687613973,-0.326118458273006,-0.352305498565889,-0.2474521693133,-0.19787638771306,-0.456179414971055
RCOR2,0.347275813693376,0.251225195728045,0.237419992970486,0.319076825370043,0.505909872833749,1,0.365241133577867,0.272668743505909,0.124317624149919,0.198510335411239,0.177011959603331,0.367881964236561,0.426326453544941,0.39191835396395,0.176892770494304,0.212472533407857,0.150859738090462,0.385507086565341,0.223968412411472,0.11070315449901,0.00627606770796428,0.173370821083516,0.287104624252109,0.436771631026367,0.358379087720425,0.182708300892018,0.298521485615231,0.363637112174723,0.122485754673202,0.287972302100352,0.332556656074914,0.109106130984252,0.29146900247663,0.191104836527268,0.173787667287924,0.136231882908985,0.256570930234137,0.487719249902339,0.276526777095097,0.300133852532007,0.22664900507673,0.0187030766621824,0.384919600614981,0.247902731035327,-0.00172045309990999,0.245144845492246,0.0783890579284337,0.395746114677155,0.23995829355868,0.0142869387126647,-0.0137264132922411,0.213496764610454,0.304151114897583,0.0471122514181151,0.415639405928222,-0.282370051016449,-0.24826351396726,-0.197649148021248,-0.0776932275548683,-0.0426712934694082,-0.106284243608945,0.060908134954743,-0.113659457853434,-0.266958949637922,-0.212233266096351,-0.242915499729302,-0.201106638906838,0.0889082540101542,-0.119047541482563,-0.101111519554269,0.0811476568777246,0.0258999348437316,-0.228463930430551,-0.0113044567873984,0.100768851531869,-0.0817639284116974,-0.265199452476494,-0.032136020368169,-0.0800216107457915,0.0844779146011915,-0.0908467827318036,0.0157490746318168,-0.0792238498247485,0.00629777186413356,-0.0719320680813733,-0.451623203055734,-0.0829019711132684,-0.167337044259043,-0.147340433173649,-0.107239582148933,-0.212218576889645,-0.10738833098235,-0.304798899606052,-0.359261635214676,-0.116024445146348,-0.29504238914548,-0.0627034129496476,-0.380373779725311,-0.239708236171415,-0.151355093518517,-0.4465370661256
E2F1,0.351395999920049,0.287379103157834,0.283515782517546,0.248949727502605,0.312832524794486,0.365241133577867,1,0.271323809984733,0.137300189379691,0.22937081481259,0.335608445611245,0.564957941664341,0.369185558572783,0.275929059838681,0.360732708637394,0.373321795197359,0.159601098304128,0.501342482455744,0.256237376337975,0.311538579004986,0.102881143168761,0.104599175132082,0.0757181302392259,0.403364278026383,0.506922655395192,0.417937447118284,0.434838550934804,0.470899332081484,0.0330213874514051,0.157706358027021,0.417428552860048,0.316712133844528,0.472237220415726,0.154811512634879,0.0478571074592682,0.00750691911850108,0.283315664717066,0.199724529985538,0.250324357250361,0.385367454539329,0.28015485664548,0.106454473250739,0.482929442231124,0.406545812807682,0.24971810540054,-0.00380047088890429,0.34942549937623,0.405881878284086,0.0870702935065269,0.0304746445937923,0.195421743690419,0.132781263563764,-0.122585613967213,0.205518030614182,0.156930832251771,-0.188387225490048,-0.17354137622955,0.0421466099162718,-0.385102718131378,-0.0386712185124075,-0.395707611124128,0.0778891153540887,-0.00427408972286717,-0.129054600894996,0.102601684400495,0.134827461859274,-0.0582963472035022,-0.0699271378460357,-0.309287434918474,-0.362261590953239,0.0119012464729835,0.00813181663446088,-0.117379597575278,-0.0407987740817123,-0.31058573576925,-0.314362416016789,-0.114220039861356,-0.335536415298391,-0.161995717165212,-0.209595457792115,-0.289895247315266,-0.183231651976687,-0.0457724019247323,-0.201004465973505,-0.334202075291422,-0.25740599836699,-0.193030676395111,-0.0128394768315338,-0.271575962213699,-0.0946271671293417,-0.307790108206556,-0.1763810572964,-0.492550217028752,-0.162064776865034,-0.26762237434596,-0.185532538745331,-0.120256575602467,-0.572658324292953,-0.213653528489551,-0.425272067067442,-0.444002024644021
MIER2,0.331972281128383,0.518790138773322,0.346095349525651,0.361678140638565,0.414772382434409,0.272668743505909,0.271323809984733,1,0.32234513654205,0.414282381734717,0.353991614881907,0.483797064253231,0.47348872936935,0.160075319250146,0.372516372984689,0.480146773580792,0.314365785666811,0.299131935883839,0.394910622550602,0.367827022037811,0.372976904530785,0.327544682312163,0.382885266308675,0.314954135572147,0.306694782629812,0.485926629629725,0.394328243508848,0.384536667154492,0.454131532269363,0.442175440516101,0.264216330872634,0.233064695790546,0.219839057231395,0.395746115987023,0.139292270543918,0.0629467812029453,0.239297070140192,0.251130820402096,0.244459231638988,0.338369372676977,0.263775194595007,0.294437657957185,0.224364521516489,0.086211470227737,0.247929553086518,0.0658113102685669,0.266481810184476,0.18493324283337,0.344826509315638,0.265328499326844,0.406222673550201,0.136785951546931,0.0592455313897154,0.298955967679796,0.109913696224624,-0.118741458299706,-0.0182328632699937,-0.0944786096827544,-0.246226331984237,-0.173587143808545,-0.270209592984966,-0.126319307770865,-0.10579887281348,-0.0945258368854327,-0.0415303328065258,-0.0683988838041556,-0.0984571907408736,-0.119805718640394,-0.211665292226284,-0.26818486123018,-0.178028128475058,-0.298364341475015,-0.213346828387968,-0.302158771467187,-0.182333203787879,-0.298137185248716,-0.148518554586135,-0.281680800011876,-0.260870728200445,-0.272880109151173,-0.193931419527641,-0.120861829995214,-0.235394007131431,-0.256711682247124,-0.420747625404352,-0.192564309180046,-0.277599051079338,-0.30149832997795,-0.264655306736621,-0.288216076629519,-0.283324378479647,-0.314513679700835,-0.283208620702126,-0.24168566619539,-0.281139681306235,-0.182712649991861,-0.34996867977868,-0.28924564450387,-0.262227185968964,-0.337370633554102,-0.441054494529449
DMAP1,0.42896735361077,0.604603861407488,0.556183142309648,0.426368183208848,0.350780103364916,0.124317624149919,0.137300189379691,0.32234513654205,1,0.510801264380762,0.529115015757132,0.282641379995516,0.201530265803012,0.339635956278529,0.291295825306174,0.312506685971015,0.524479559436474,0.0585362841630805,0.375469774098721,0.4532172784679,0.710735790912553,0.485226288796184,0.294526861580785,0.161184682882057,0.147775114564665,0.116095851160403,0.00162418899331399,0.099862044660651,0.370410081423301,0.291296050781156,-0.0473478122045243,0.333809407468823,0.0204608581555569,0.246273518597603,0.335020659811064,0.463920898915216,0.167704632886501,0.197257252459423,0.236076399145176,0.0523588953795566,0.0880604692869443,0.482824397093899,-0.0100279108127239,0.0558870862458212,0.364185044920287,0.163843896835597,-0.0685167540028072,-0.0673797604403248,0.0183628833669144,0.332483276770872,0.366012437271855,0.173512345385745,0.181286512685875,-0.153974195238227,0.194524382334939,-0.187918470566889,-0.133043377579134,-0.360608193866898,0.018449520891917,-0.322158309719168,-0.153875687419153,-0.363361564720861,-0.281843705830742,-0.148508695077839,-0.0687128828393732,-0.181832359996837,-0.337251366373433,-0.366239513442263,0.0222224727075438,0.0123291084008526,-0.359419233220387,-0.307443392498342,-0.186851980212845,-0.490087531161182,-0.179067237774979,-0.129571779840425,-0.268581487447173,-0.106574124184724,-0.282307867876158,-0.372307424215758,-0.343154060548896,-0.448365352724997,-0.449430018150915,-0.418151975990928,-0.256497237625176,-0.315860731196732,-0.286352803680674,-0.388971610009476,-0.429986161558583,-0.435520855339194,-0.134140535327277,-0.296642177654786,0.0350068041909309,-0.313309317768778,-0.36394952864017,-0.438854242508555,-0.511880143130927,-0.108997073961004,-0.588613124744003,-0.218678101448778,-0.435723846831621
ZNF205,0.394623262717534,0.543189150439795,0.486911853793663,0.258756835677544,0.428333309750197,0.198510335411239,0.22937081481259,0.414282381734717,0.510801264380762,1,0.601787764822632,0.419366406835076,0.359031525823281,0.52071397088336,0.502964316631998,0.281503346628931,0.538844398825397,0.208517326640244,0.385150317668407,0.485733737498596,0.497833388299657,0.500342818124719,0.282401258715163,0.136788684017288,0.388393622530794,0.353466793212673,0.221076615207434,0.192684149723341,0.507568392989453,0.387933965759022,0.105416301685458,0.131398603413717,0.125873240306218,0.448034137242945,0.216605459219473,0.477238466393132,0.372472806121499,0.236915583116901,0.309610004879694,0.198499508873901,0.0460446182004385,0.401352456149916,0.0997190749721591,-0.0585830381184245,0.377360080190972,0.39050245082627,0.193227291940621,-0.0239346435720117,0.201165749056193,0.3773394638361,0.505594436828268,0.110374555870585,0.180336635401058,-0.0177377086258487,0.139090280736406,-0.268386881176198,-0.151766746065422,-0.220523481995497,-0.00562092551421626,-0.379877828104424,-0.400108840723531,-0.364759357513751,-0.294516681248359,-0.201008592324363,-0.069167446530407,-0.127005633427384,-0.215181668879747,-0.4074025547979,-0.0528137961145778,-0.166152259798356,-0.323565163151774,-0.362607315556812,-0.220417730691914,-0.481699801152053,-0.313476841499207,-0.216306613805296,-0.23541879212712,-0.247179408059316,-0.352669269777003,-0.391338840050983,-0.295405839085489,-0.344009590284124,-0.524758360275688,-0.523037983484374,-0.34727587379096,-0.284774942199367,-0.363733805842514,-0.3684922222839,-0.368313644552232,-0.413907151671995,-0.185275929289161,-0.279316912272044,-0.141285768717033,-0.254514062502493,-0.390606061377786,-0.467681083454388,-0.509711531103613,-0.245529347279217,-0.479474681606126,-0.385804739019275,-0.43411648856485
