,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,I2,Tau2,H,Q,symbol
ENSG00000084676.14,-0.581304365780951,-0.582561859977651,-0.58004687158425,0,-0.548550806639747,-0.621835314024319,-0.475266299255175,9.92192982962744e-49,0.999664054318604,0.0318759281705589,54.5588828002932,65486.7772331549,NCOA1
ENSG00000101412.12,1.69202449501817,1.6861095579976,1.69793943203874,0,2.03770519597545,1.74410857737163,2.33130181457927,3.83730874522041e-42,0.999504097381035,0.473282257761582,44.9057339558048,44363.5487264095,E2F1
ENSG00000149480.5,0.350306458047853,0.349443555478813,0.351169360616894,0,0.380306624072699,0.313404608333631,0.447208639811768,7.88012764219568e-29,0.999798566450611,0.0247223404363365,70.4586142362172,109217.159041937,MTA2
ENSG00000196235.12,0.246368406437713,0.245800110552196,0.246936702323229,0,0.249944956313001,0.203786205367903,0.2961037072581,2.59270231506676e-26,0.999809468161674,0.0123042226093613,72.4463018664371,115466.266390704,SUPT5H
ENSG00000141646.12,-0.361647715702697,-0.362322925072798,-0.360972506332596,0,-0.368004375944975,-0.438644289471991,-0.297364462417958,1.77777167042283e-24,0.999898317732053,0.0296795119936126,99.1693320024142,216360.241015711,SMAD4
ENSG00000064490.12,0.453248752949154,0.451505278354816,0.454992227543492,0,0.525621032199718,0.420587191797734,0.630654872601701,1.03750953758564e-22,0.999676208573041,0.0634064552707824,55.5734459701098,67944.9737338397,RFXANK
ENSG00000167491.16,0.446267436034351,0.44534131681856,0.447193555250143,0,0.381248243705351,0.303772507495173,0.458723979915529,5.17454358141963e-22,0.999811601611209,0.0351956866385049,72.8553431110324,116773.822436178,GATAD2A
ENSG00000089280.17,0.415486929535379,0.414097727746804,0.416876131323954,0,0.414791215988264,0.328998131155252,0.500584300821277,2.64200766670689e-21,0.999712168680533,0.0422934367544799,58.9428289253446,76433.6557978938,FUS
ENSG00000122386.9,0.577254853871665,0.574841711377618,0.579667996365711,0,0.532219640743191,0.419429023523217,0.645010257963165,2.27904897967853e-20,0.999489785400921,0.0718161121524851,44.2714309347782,43119.1111342825,ZNF205
ENSG00000151090.16,-1.24027808046022,-1.24362882283292,-1.23692733808752,0,-1.64982089170366,-2.01029875552014,-1.28934302788719,2.95745554153957e-19,0.999896595753569,0.748839759983089,98.3401379104123,212757.219933256,THRB
ENSG00000119138.4,-1.10416587970586,-1.10945399077803,-1.09887776863368,0,-1.44867296201752,-1.77081053102676,-1.12653539300829,1.20670107398877e-18,0.999702340429425,0.611350753982043,57.9615611790799,73909.9366349569,KLF9
ENSG00000266412.4,-0.479329656817091,-0.480658874979433,-0.478000438654749,0,-0.517650008356896,-0.636129786904809,-0.399170229808984,1.09702252275244e-17,0.999858701752778,0.0835528925140135,84.1262659678202,155699.029765145,NCOA4
ENSG00000197961.10,0.541484966499282,0.539328128177725,0.543641804820839,0,0.70793746469661,0.536055090216314,0.879819839176906,6.88355405324995e-16,0.999824305271684,0.176143147589639,75.4432926682085,125217.188989661,ZNF121
ENSG00000108924.12,-1.54706155248527,-1.55306618277529,-1.54105692219525,0,-2.43610970844276,-3.0405283944036,-1.83169102248193,2.79720271866943e-15,0.999882954316912,2.13515469493319,92.4319892571006,187960.798036545,HLF
ENSG00000143437.19,-0.259223836269437,-0.259962820555182,-0.258484851983693,0,-0.284869200408234,-0.356009735104731,-0.213728665711737,4.21661796383885e-15,0.999882832561505,0.0302398221429789,92.3839510830072,187765.477189564,ARNT
ENSG00000141027.19,-0.336568457093804,-0.337886961439754,-0.335249952747853,0,-0.344451133806985,-0.432777032180523,-0.256125235433446,2.11528835833668e-14,0.999749684395445,0.0460016844443954,63.2056697922628,87889.0472655483,NCOR1
ENSG00000172059.9,-0.635035004502402,-0.63741031352659,-0.632659695478214,0,-0.703772036750638,-0.884612632028105,-0.522931441473171,2.39286133561207e-14,0.999797178032128,0.186300993040744,70.2170377542935,108469.512601733,KLF11
ENSG00000088305.17,1.07980414747085,1.07558684062348,1.08402145431823,0,1.27160473139954,0.943908985525129,1.59930047727395,2.83741017423404e-14,0.999805865791923,0.637887030487478,71.7709947745017,113323.665200274,DNMT3B
ENSG00000095574.10,-0.316993571549352,-0.318102362527374,-0.31588478057133,0,-0.357381459209023,-0.450100048633627,-0.26466286978442,4.20046954993875e-14,0.99983953930105,0.0500481025740905,78.9433696758108,137105.223546978,IKZF5
