	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.475019149714695	0.621873147657641	0.256935917121931	-1.84878453365191	0.0644889315164563	0.375835288673336	1.02897791514663
BRCA	-0.411917125488849	0.662379168127269	0.320183101212726	-1.2865048902602	0.198266913234087	0.353644017415797	1.24064353067542
CESC	-0.885925029485534	0.412332577020774	0.430890564576185	-2.05603255749383	0.039779378110695	0.17720376084024	0.959450032360622
CHOL	0.215534091899537	1.24052427403114	0.662305658895501	0.325429941605775	0.744855697576017	0.338726884656554	4.54318964383603
COAD	-0.0223308964476574	0.977916592381534	0.348725501798856	-0.0640357425323537	0.948941766773166	0.493703413084926	1.93703514358854
ESCA	-0.571179864092092	0.564858589014609	0.488780546903362	-1.16858141697898	0.242572318896853	0.216715004409928	1.47228027174365
GBM	-0.0389978087350595	0.961752816599286	0.265609346131382	-0.146823932602769	0.883270993914423	0.571447558501507	1.61864105721649
HNSC	-0.469318714902425	0.625428218094186	0.244229234667306	-1.92163200913167	0.0546520779639194	0.38751558221785	1.00940574763409
KICH	0.266483984225146	1.30536668270903	1.0228954992521	0.260519265575015	0.794463256458852	0.17580948281527	9.69220857169133
KIRC	0.772393988878966	2.16494290412696	0.268359753274048	2.87820352886597	0.00399947012142635	1.27943495308141	3.66331853514042
KIRP	-0.341025172387832	0.71104100938108	0.315434251936849	-1.08112917444395	0.279639657480669	0.383174436511986	1.31944949570207
LIHC	0.240441686736099	1.27181076822984	0.207684797507356	1.15772405887139	0.246976662566763	0.846527123051405	1.91075109838761
LUAD	-0.128126842348926	0.879741783552996	0.261367505911999	-0.490217182514132	0.623980223292855	0.527082740106073	1.46835695202854
LUSC	-0.243244207625208	0.7840800120717	0.2513451099706	-0.967769803254417	0.333159347885334	0.479087718062522	1.28323361704323
PAAD	-1.32101092880551	0.266865383651212	0.364217683404174	-3.62698185452895	0.00028675343692288	0.130698194724163	0.544897602768055
PCPG	-0.6062347330403	0.545400586594568	1.55876798052913	-0.388919159626637	0.697335948461808	0.0256974417424348	11.5755413647458
PRAD	0.969762275443915	2.6373174297117	1.18938205509315	0.815349677835827	0.414872180334383	0.256305876825235	27.1372756302571
READ	0.0322028997866452	1.0327270241416	0.592617074814019	0.0543401483947311	0.956664162996433	0.323257770330944	3.29930230385638
SARC	0.175376867408919	1.19169524309381	0.314765729623663	0.557166333255535	0.577413789690131	0.643037249119549	2.20848411869899
STAD	-0.234816256601254	0.790716125149896	0.30313944736297	-0.774614648947658	0.438567398576859	0.436503600256559	1.43236388017093
THCA	-0.351558895931096	0.703590410129376	1.05063577608773	-0.334615386161892	0.737915236893214	0.089746416684441	5.51598028661847
THYM	-2.93063793265334	0.0533629852938406	0.91156008355925	-3.21496957305377	0.00130458349517534	0.00893961401152182	0.318538160126434
UCEC	-0.362076901673152	0.696228824621506	0.299801137543795	-1.20772357516575	0.227153606709997	0.386866218718118	1.25297726392346
