	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0963885594148089	1.10118685739793	0.0474828761879369	2.02996463468859	0.0423601342205916	1.00332936225963	1.20858866541586
BRCA	0.0677523682034118	1.07010028480993	0.0465882112668676	1.45428138065467	0.145868310433084	0.976716495181107	1.17241249144457
CESC	0.101264373795704	1.10656915098249	0.0716627240908093	1.41306899898732	0.157635437365615	0.961566085682347	1.2734385125877
CHOL	0.116441498585118	1.12349178268574	0.149770076160335	0.777468380669464	0.436882482410102	0.83769395280912	1.50679586683134
COAD	0.105667808133303	1.11145259966072	0.0841528547360596	1.25566516388213	0.209237394518997	0.942453444773637	1.31075639666135
ESCA	-0.0207576447438285	0.979456312192526	0.0974498105641288	-0.213008569474525	0.831320278595341	0.809162300200681	1.18558992090444
GBM	-0.116348366743006	0.890165065371695	0.0628858685859377	-1.85015122410225	0.064291756748035	0.786940683099575	1.00692956994819
HNSC	0.0467808748170941	1.0478923643141	0.0410619595970733	1.13927526294747	0.254588362611168	0.966862402210363	1.13571321490779
KICH	0.519102211902917	1.68051822297008	0.409663336887363	1.26714344477852	0.20510400360381	0.752899765052508	3.75101923100955
KIRC	0.172791955321305	1.18861879354401	0.04213120898664	4.10128167402219	4.10868053206992e-05	1.09441098257384	1.29093609152509
KIRP	-0.0480459499240084	0.953089991658625	0.0864254385228531	-0.555923704237888	0.578263012859927	0.804578535722333	1.12901412586692
LIHC	0.0793155074452138	1.08254581946082	0.0357804023109182	2.21673045361513	0.0266415164388021	1.00922953949296	1.16118821870877
LUAD	0.0269605233510005	1.02732724652586	0.0437366455493453	0.616428695259279	0.537611619393277	0.942931417744159	1.11927681228326
LUSC	-0.0539816162342417	0.947449524031815	0.04166181410059	-1.29570969002709	0.195075521677223	0.87315929490086	1.02806052209527
PAAD	0.0245824912605782	1.02488713185167	0.121932734802275	0.201606986839432	0.840223982681462	0.8070244792829	1.30156353369664
PCPG	0.00512624174522005	1.00513940340277	0.234766359890015	0.0218355038073668	0.982579172989522	0.634443293085862	1.59242793057022
PRAD	-0.396059626256326	0.672966568263969	0.379847351992125	-1.04268102483583	0.29709604897553	0.319644206711297	1.41683782309256
READ	-0.0872810307281305	0.916419517396901	0.1554843098148	-0.561349443118038	0.574559341889084	0.675687439054977	1.24291896418935
SARC	0.0895828480448041	1.09371794195198	0.0516598251419598	1.73409119753373	0.082901903111322	0.988399264815117	1.21025882872488
STAD	0.000838211326157416	1.00083856272345	0.0524803451688838	0.0159719095493755	0.987256801768652	0.90301024952722	1.10926518182797
THCA	-0.0918343285423343	0.912256271852741	0.203248124080975	-0.451833584971967	0.651388872972242	0.612507965551135	1.35869499229424
THYM	-0.187359709596994	0.829145431168101	0.254549849829209	-0.73604329259162	0.46170435153125	0.503451323616189	1.36553846177003
UCEC	0.129734147373058	1.13852566304855	0.0680508764499474	1.90642875067861	0.0565946015159836	0.996363508523491	1.30097165776479
