	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.132408076978925	0.875983453450809	0.202909393306651	-0.652547793974331	0.514047851296564	0.58854424055958	1.30380514808882
BRCA	-0.147816850252426	0.862589083448551	0.174576144456835	-0.846718494742418	0.397152047467758	0.612638765718786	1.21451656101395
CESC	-0.0611540242463738	0.940678341344755	0.260272710688126	-0.23496133760889	0.814238741340728	0.564802501758557	1.5666994022158
CHOL	0.429517307889758	1.53651568052554	0.745227028683883	0.576357661970892	0.564373455328927	0.356614173318933	6.62026529828768
COAD	0.382348345587674	1.46572257420597	0.160873291882938	2.37670492791243	0.0174680553665398	1.06934091074874	2.00903439019529
ESCA	-0.257373738005325	0.7730792306772	0.373564450637433	-0.688967426012177	0.490843766510518	0.371745199430936	1.60769122995894
GBM	0.163975135123559	1.17818501930358	0.17083728417811	0.959832251562854	0.337139647621426	0.842939754542946	1.6467605570033
HNSC	-0.416975668195346	0.659036955307492	0.162587944039112	-2.56461615687224	0.0103290000012663	0.479197627653663	0.906368653341659
KICH	-2.55592927092269	0.0776200684700825	0.876841055867327	-2.91492882754503	0.00355769666365773	0.0139189207335828	0.432855042759445
KIRC	0.172823309477418	1.18865606226748	0.140748493153246	1.22788745801526	0.219489218305085	0.902092090727069	1.56625165976841
KIRP	0.448367612321499	1.56575418039855	0.472630966919978	0.948663214438536	0.342791928856303	0.620039520135757	3.95391918389133
LIHC	-0.817524413194674	0.441523332012226	0.240616505555412	-3.39762399635716	0.000679737755725312	0.275511998897899	0.707565744835025
LUAD	0.067485831263457	1.06981510156219	0.141645389632905	0.476442130861841	0.633759425572678	0.81047560983911	1.41213916573964
LUSC	0.230417002451433	1.25912495866384	0.139710263576574	1.64924892812291	0.0990966478960048	0.957518647971006	1.65573345740022
PAAD	-0.853657503608669	0.425854515646371	0.219361500623606	-3.89155572505601	9.9603506086427e-05	0.277038679758602	0.65460919989377
PCPG	0.0748263722358147	1.07769701651579	0.823694570527242	0.0908423764259109	0.927617837716314	0.214470019361602	5.41535298436674
PRAD	0.555308195307536	1.74247792554865	0.886818152640316	0.626180456110671	0.531196584768644	0.306412377710604	9.90896433006353
READ	0.415299375625402	1.51482417424972	0.381811650546809	1.08770744693263	0.2767242791483	0.716743166462474	3.20155445669185
SARC	0.0135106841571765	1.01360236587935	0.161154487641232	0.0838368472074729	0.933186151296753	0.739082070852248	1.39008886378682
STAD	-0.22409634490218	0.799238128140572	0.182580769811357	-1.22738196981926	0.219679059867907	0.558808702593933	1.1431131664709
THCA	0.352416226801256	1.42250048334127	0.801586556926343	0.439648374534354	0.660191798711057	0.295624693871631	6.84485317720044
THYM	-2.45543355838771	0.0858259768013973	1.2507362008869	-1.96319060457877	0.049624030665783	0.00739588535675551	0.995972481805129
UCEC	-0.023194450249152	0.97707247331421	0.182673174526542	-0.126972393780686	0.898962248245205	0.683022625534222	1.39771448619532
