	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0092356153603287	0.990806901943383	0.135295380666086	-0.0682626067117736	0.945576590187372	0.760020639570816	1.2916732333651
BRCA	-0.241957220666416	0.785089762450296	0.120117741591032	-2.01433374838343	0.0439745049927768	0.620404454234013	0.993490505907573
CESC	-0.351731156547303	0.703469219650243	0.199986055253607	-1.75877841133105	0.0786151530253149	0.475353461474457	1.04105467426351
CHOL	-0.124559453206938	0.882885769415645	0.34585708425025	-0.360147178933629	0.718737072951847	0.448239817830659	1.73899607047212
COAD	0.297549761578428	1.34655538040679	0.167799694626293	1.77324376090851	0.0761883235880622	0.969154151657468	1.87092155505034
ESCA	0.0167660016352271	1.01690733982792	0.235486567043743	0.0711972739919076	0.943240750952282	0.64096579295292	1.61334746591049
GBM	-0.23200867315821	0.792939245989328	0.192356122762063	-1.20614134776046	0.227762994356742	0.543883752087163	1.15604234437465
HNSC	-0.111104223875057	0.894845479805199	0.11209912264433	-0.991124830009332	0.321624629943461	0.71833843219343	1.1147230843305
KICH	0.130229259031772	1.13908949994767	0.613484093125878	0.212278134822072	0.831890052600365	0.342262439723426	3.79102331514822
KIRC	0.320921133955571	1.3783968678983	0.121315907280764	2.64533432712049	0.00816102395925148	1.08670080833862	1.74839101144738
KIRP	-0.188870819434585	0.827893447530901	0.272882320900479	-0.692132853500125	0.488853901515084	0.48494958571969	1.4133583791961
LIHC	0.0879442389154592	1.09192723328383	0.103942140091624	0.846088399160702	0.397503431863938	0.890672385525274	1.33865729101248
LUAD	-0.0547105473377008	0.94675915025282	0.0984703398603444	-0.555604331368147	0.578481369810903	0.780587164876316	1.14830595341581
LUSC	-0.00286536388706158	0.997138737349927	0.130377607889692	-0.0219774233738502	0.982465964725838	0.772285653630177	1.28745841237644
PAAD	-0.00785085138944142	0.992179886053365	0.19009220650679	-0.0413002275775098	0.967056551645999	0.683571014509026	1.44011508006367
PCPG	-0.20024474637078	0.818530396216827	0.852991627582873	-0.234755816933649	0.814398262409857	0.153803784505218	4.35614774815989
PRAD	-0.216096570207096	0.805657495605457	0.428838107836286	-0.503911770568658	0.614323378786847	0.347634438029889	1.8671452802655
READ	0.500593299138404	1.64969974584503	0.330078567606793	1.51658831643603	0.129370657047882	0.863856332840067	3.15041882310889
SARC	0.130049838210021	1.13888514190713	0.150374578316163	0.864839254522068	0.387127022391821	0.848165989949785	1.52925179956062
STAD	-0.148585290810578	0.861926489626399	0.15027320035258	-0.988767727458776	0.32277679745068	0.642033143430728	1.1571322775486
THCA	-0.87543638385113	0.416680147510896	0.555020116433658	-1.57730568303784	0.114725205386354	0.140400556635731	1.23662148847575
THYM	-0.199636652971912	0.819028290515316	0.417551172577018	-0.47811302202747	0.632569764169789	0.361308934301892	1.85660324719219
UCEC	0.133892421480757	1.14326982175428	0.12802774379216	1.04580786566167	0.295649748893942	0.889551971892182	1.46935303010321
