	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.171560727354566	0.842349112833537	0.1606497882687	-1.06791754414028	0.285557707891347	0.61481828493572	1.15408413392525
BRCA	-0.348419367235977	0.70580282356207	0.167664997339052	-2.07806860564584	0.0377030407196348	0.508120465101937	0.980392761091116
CESC	-0.0526176298446934	0.948742714033666	0.241854827674763	-0.217558732858753	0.827772940675745	0.59058342096735	1.52410769668681
CHOL	-0.233663686877737	0.791628006017834	0.550308393295822	-0.424604984631098	0.671124658686488	0.269214096511255	2.32779378209704
COAD	0.657715598332713	1.93037753607368	0.217624914411004	3.02224402988419	0.00250908186076543	1.26008427537955	2.9572287382568
ESCA	-0.284372237604865	0.752486488798865	0.286657224766297	-0.992028852008546	0.321183451235656	0.42903787636557	1.31978071638219
GBM	-0.0149750837375452	0.985136485216488	0.147510413402716	-0.101518824278948	0.919138615141546	0.73779432816075	1.31539896345374
HNSC	-0.252615358062811	0.776766601380319	0.165813728907135	-1.52348879509422	0.127636461886421	0.561241325983407	1.07505688744982
KICH	-0.357009694950059	0.699765713508079	1.01933199517555	-0.350238878637939	0.726159431338635	0.094906441991041	5.15952387981941
KIRC	0.483048586099199	1.62100866158646	0.146601872289845	3.29496873780827	0.000984326296944534	1.21617926717881	2.1605935505164
KIRP	-0.0514228476154301	0.949876932405589	0.31189049971739	-0.164874684102354	0.869042618836077	0.515448958409604	1.75044720140701
LIHC	-0.111172826625122	0.894784093050074	0.192663261223638	-0.577031790695561	0.563917980110568	0.613370647999952	1.30530956410472
LUAD	-0.143737748126473	0.866114858522168	0.129590594041191	-1.10916806262024	0.267357687418554	0.671842967432394	1.11656292395196
LUSC	0.105768168357419	1.11156415089027	0.126776137114749	0.834290827631738	0.404117119305313	0.867006769315326	1.425104053709
PAAD	-0.775438545030399	0.460501785940525	0.243837835854	-3.18014036793987	0.00147203729031608	0.285546063006184	0.7426538913612
PCPG	-0.831235619103473	0.435510828226363	1.52912254487982	-0.543603010685325	0.586714687557636	0.0217474072594288	8.7214847839013
PRAD	2.84971328252234	17.2828258418836	1.08403995328985	2.62878990195334	0.00856892831698004	2.06480133561523	144.660923997262
READ	0.0209517465670791	1.02117277535665	0.416815177739984	0.0502662755245183	0.959910198013859	0.451133944095725	2.31149495793278
SARC	0.101416745824713	1.10673777401565	0.192450108988035	0.52697681678641	0.598209687822966	0.758980998653012	1.61383289253214
STAD	0.0686115225318864	1.07102006115986	0.189485286534994	0.36209419626476	0.717281640517361	0.738766914306957	1.55270078991418
THCA	-0.441340082373023	0.643173937256422	0.730599534279711	-0.604079337127056	0.545790896437908	0.153617603812237	2.69287310373327
THYM	0.282781894827337	1.32681574487951	0.726774946207048	0.389091418606464	0.697208521273436	0.319285106489304	5.5136928878928
UCEC	0.0533860256752537	1.05483676060858	0.186281153125492	0.286588443218886	0.774427464390648	0.732187737837032	1.51966570051855
