	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0713067388517121	1.07391058545191	0.129555741420017	0.550394278710792	0.582048971981434	0.833086460301708	1.38435084532281
BRCA	0.34163726280683	1.40724974309926	0.148767593174989	2.29644948550708	0.0216501942929146	1.05133221707488	1.88365942495596
CESC	0.225394751498302	1.25281717004722	0.227493836458476	0.990773002939981	0.321796434674006	0.802129691038281	1.95672954024864
CHOL	-0.118478759871781	0.888270682439625	0.289999507985028	-0.408548140977872	0.682871294750951	0.503149794486423	1.56817077921523
COAD	-0.214057151616432	0.807302245075952	0.147274044933368	-1.45346148205055	0.146095666709832	0.604889806508227	1.07744734312333
ESCA	0.182067265295779	1.1996948889974	0.257302375297645	0.707600406273613	0.479193440492144	0.724527092312601	1.98649276467015
GBM	-0.171354555631346	0.842522799305687	0.234277539336787	-0.731416917372579	0.464524535087236	0.532309551509385	1.33351856140304
HNSC	-0.023018083354384	0.977244811749242	0.125483011301666	-0.183435854109746	0.85445604560869	0.764173618584064	1.24972571529012
KICH	2.43977379207307	11.4704457435486	0.957309480908453	2.54857372744059	0.0108164420912665	1.75677841802147	74.8934095535345
KIRC	-0.578486937968658	0.560746168752169	0.171449850308147	-3.37408832337236	0.000740606007569565	0.40070793057766	0.784701878290617
KIRP	0.618480258600216	1.85610509755791	0.345871949627068	1.788176980721	0.0737474589041912	0.942314396416662	3.65602621193226
LIHC	-0.0362320808847165	0.964416444886873	0.139356645048897	-0.259995358470374	0.794867353920208	0.733912045778798	1.26731681884476
LUAD	-0.00560966832460747	0.994406036484769	0.138868253527416	-0.0403956136994262	0.96777772715755	0.757458564189778	1.30547519316132
LUSC	-0.113817307198037	0.892420979879644	0.140531677326552	-0.809904993402745	0.417994781726326	0.67756192144016	1.17541316908211
PAAD	-0.171714004253638	0.842220010068074	0.201277650409811	-0.853120075199707	0.39359271974847	0.567672307619845	1.24954931892519
PCPG	0.960468913267538	2.61292141972463	1.08330849271643	0.88660701889185	0.37529051365649	0.312616925995073	21.8393752159261
PRAD	0.458031793789859	1.58095926694908	0.596752112938805	0.76754113451598	0.442759846074477	0.490867593152483	5.09186639863545
READ	-0.337990383134134	0.713202146634682	0.379976765709013	-0.889502763421509	0.37373293871914	0.338669301715592	1.50192916626225
SARC	0.240178921572377	1.27147662456768	0.160217025913401	1.49908488316464	0.133851612738197	0.928819662598034	1.74054541685738
STAD	0.514925161049172	1.67351325313479	0.175842343729452	2.92833426880061	0.00340783455599831	1.18563737641887	2.36214433191785
THCA	1.35258659325141	3.86741603666004	0.737003109037729	1.83525222168658	0.0664683267470932	0.912184545408596	16.3967991739167
THYM	0.446297977068786	1.56251699140546	0.40748253174822	1.09525670991107	0.273404187200432	0.703031830932848	3.472757905131
UCEC	0.0271233912622415	1.02749457879483	0.171696570537899	0.157972819010118	0.874478217035301	0.733890309773166	1.43855981662855
