	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.107959699958626	1.11400285012088	0.1695674675774	0.636676961100143	0.524335283427887	0.799006315139681	1.55318215458722
BRCA	-0.200518045190318	0.818306723391937	0.164417748693058	-1.21956447393434	0.222630020732841	0.592875464657972	1.12945455406011
CESC	0.209175114411616	1.23266083630862	0.252989120765137	0.826814662144322	0.408342118284216	0.750756097128414	2.02389663324862
CHOL	-1.64777659806905	0.192477387811345	0.736121863979225	-2.23845626478438	0.0251913164211638	0.0454769834297906	0.814643848923587
COAD	0.567697322767731	1.76419998751864	0.226950567272734	2.50141398450664	0.0123698486873448	1.1307514193934	2.75250735270397
ESCA	-0.48532690785974	0.615495953407253	0.374025699454129	-1.29757636592365	0.194432947855431	0.295701787228464	1.28113959746888
GBM	-0.280509274544994	0.755398938028293	0.225800607799679	-1.24228750878231	0.214130502416566	0.48526005614055	1.17592113414956
HNSC	-0.031524163822751	0.968967542210911	0.163809760920408	-0.192443744778237	0.847394629340707	0.702868545406847	1.33580895601863
KICH	-1.921419919982	0.146398939697876	0.94638408897655	-2.03027496168061	0.0423285978337537	0.022907322724288	0.935624376651309
KIRC	0.541645140449105	1.71883225793395	0.220599798452112	2.45532926253641	0.0140755598681157	1.11547182906775	2.64855127124407
KIRP	1.27466738547715	3.57751127997788	0.572194219354049	2.22768308794891	0.025901655572277	1.16554329200492	10.9807907146489
LIHC	0.152385652441867	1.16460928425265	0.181401039205766	0.840048398339182	0.400881250722822	0.816152665731864	1.66183955761661
LUAD	0.135329544157077	1.14491402191596	0.13805137900031	0.980283899639808	0.32694599989926	0.873500840926198	1.50066039568991
LUSC	-0.0341313495526252	0.966444554240414	0.110474070786621	-0.30895348844843	0.757356907859352	0.7782896296083	1.20008675548077
PAAD	-0.2476805533199	0.780609266491814	0.269457511330963	-0.91918221947684	0.358000269677668	0.460331880223754	1.32372067438975
PCPG	-2.20491445655103	0.110259956918071	1.58337921142579	-1.39253720185297	0.163759784386135	0.00495043075579466	2.45579803037227
PRAD	0.519346073869638	1.68092808742219	0.926994029380319	0.560247485322869	0.575310641742689	0.273206096167043	10.3420797512412
READ	-0.039204812781195	0.961553750479325	0.364275053303854	-0.107624204363215	0.91429379620293	0.470871146020097	1.96356396622653
SARC	0.148745664637109	1.16037782655992	0.22051878012391	0.67452606328372	0.499976921385569	0.75317083656923	1.78774407477759
STAD	0.0315593163317566	1.03206259194716	0.202796984528952	0.155620244576424	0.876332366494696	0.69356142581334	1.5357734067283
THCA	1.22209651778594	3.39429648215424	1.00494647634211	1.21608120089562	0.223953991052451	0.473519406378955	24.3311012253302
THYM	0.376175030226409	1.45670207835352	1.20411156191537	0.312408785136179	0.754729874684448	0.137540031715965	15.4280969591571
UCEC	0.236116429334458	1.26632173858145	0.179089020826886	1.31843051150912	0.187359572481794	0.891462771885457	1.79880842607972
