	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.352807205547446	0.702712659420747	0.291871740264069	-1.20877480371428	0.226749374123265	0.396584833642242	1.24514363591533
BRCA	-0.443793834567178	0.641597682456865	0.312047215083676	-1.42220091420516	0.154967933468573	0.348054870562335	1.18270887997901
CESC	-1.04600054689045	0.351340111201393	0.467208832026777	-2.23882871039241	0.0251670634390069	0.14061733264518	0.877842520669076
CHOL	0.757427050284129	2.13278161500588	0.816658067318705	0.927471460327274	0.353681803061289	0.430334119750568	10.5702922648654
COAD	-0.160610974312017	0.851623310016833	0.283230201095424	-0.567068673082308	0.570667525594684	0.488834169942801	1.48365704927888
ESCA	0.41329712448914	1.51179415027235	0.385176867798844	1.07300608899749	0.283268384157082	0.710607057231512	3.21629447602446
GBM	-0.196079031864362	0.821947272085843	0.31861813784726	-0.615404487607542	0.538287628512798	0.440185474970617	1.53480147915934
HNSC	0.0646764667541822	1.06681381880698	0.202144039235479	0.319952381474084	0.74900442857824	0.717832826054531	1.58545511251262
KICH	4.75574962829379	116.25076537233	1.54734207658659	3.07349596463175	0.00211566549048908	5.60139058923218	2412.65811308205
KIRC	0.744976867435572	2.10639270815211	0.228096388423659	3.2660616530757	0.00109054503204976	1.3470488480806	3.29378570589959
KIRP	0.918680704975146	2.50598207840826	0.607962647453842	1.51108083501938	0.130767856922234	0.761165712959826	8.250432291391
LIHC	0.333069660757562	1.39524448887267	0.274844919437503	1.21184579812944	0.225571413402529	0.814145255227537	2.39110548299576
LUAD	0.365016272447785	1.44053744902892	0.24511370283904	1.48917122225306	0.136442286732154	0.891011667077497	2.32897976393642
LUSC	-0.233910588400338	0.791432575984793	0.226354716630518	-1.03338066854668	0.301425789509868	0.507855825006735	1.23335303345515
PAAD	0.257610350547536	1.29383457845709	0.465119561452986	0.553858345030228	0.579675794649889	0.51995800077685	3.2195060253139
PCPG	1.2166350841472	3.37580928641493	2.04024977638261	0.596316734465867	0.550963653733737	0.0619033490206712	184.094859462931
PRAD	0.496915750730503	1.64364403707722	1.24055113887303	0.400560472808821	0.688743752271467	0.144493637658962	18.6967797640738
READ	-0.196409941358858	0.821675326926634	0.534563116942789	-0.367421423464721	0.713304693794008	0.288190258251444	2.34272437582164
SARC	1.67291563258527	5.32767872780835	0.337016458009756	4.963898921924	6.90919110868575e-07	2.75213097800095	10.3135209965039
STAD	-0.28879529728695	0.749165545927298	0.237357459827747	-1.21671043116375	0.223714408860262	0.470477392992476	1.19293514112276
THCA	0.0103547599150591	1.01040855596289	1.2119301849151	0.00854402344618924	0.993182938546546	0.0939507327026689	10.866604448887
THYM	-2.03618217491536	0.130526086595148	1.36272192884343	-1.494202251991	0.135122764189577	0.00903121764359987	1.88646314973016
UCEC	0.652123637897624	1.9196130665614	0.313259486992893	2.0817362760746	0.0373665651958691	1.03888323694529	3.54699565289772
