	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.140871350547918	1.15127652736269	0.0566293465354944	2.48760332170922	0.0128607090437412	1.03033075378212	1.28641956730002
BRCA	-0.012420953142178	0.98765586850134	0.0905670845905295	-0.137146438999726	0.890915046225315	0.827017703641238	1.17949604983099
CESC	-0.00512741297578027	0.994885709767976	0.156768177149536	-0.0327069757970676	0.973908260987279	0.731698017813693	1.35274054514735
CHOL	0.0144132742382366	1.01451764632031	0.338262517326195	0.0426097291304007	0.966012639810898	0.522793318758604	1.96874370380115
COAD	0.213054273363228	1.23745181009268	0.152390100834215	1.39808473251821	0.162087624028829	0.917938544242433	1.66818028495079
ESCA	-0.0167343727266845	0.983404869098459	0.201681554367525	-0.0829742351954973	0.933872026288843	0.662309072153562	1.46017196083693
GBM	-0.0853433471356875	0.918196969973765	0.0897090290984053	-0.951335088490045	0.34143430020022	0.770150126809099	1.0947030277877
HNSC	0.0705600506982414	1.07310900844114	0.0952273041967588	0.740964488004933	0.458714972566312	0.890402175382132	1.29330652578797
KICH	-0.244630863206643	0.782993516618255	0.363832147113104	-0.672372865200927	0.50134635285604	0.383763512886857	1.59754334760578
KIRC	0.620451430085957	1.85976740733522	0.11824636111987	5.24710802268989	1.54505315456205e-07	1.47505137690931	2.34482328109377
KIRP	0.393561287978445	1.48225012506204	0.246730486977836	1.59510603168306	0.110688526908106	0.913911462496155	2.40402437589043
LIHC	0.0830787587878409	1.08662738663399	0.0650128815930386	1.27788150212891	0.201291211265264	0.95662468066559	1.23429710862307
LUAD	0.318419782767692	1.37495332180992	0.0884680150647548	3.59926446337269	0.000319118525621512	1.15606923399627	1.63527977526148
LUSC	0.00176941487537719	1.00177098121358	0.0863818506933463	0.0204836416582295	0.983657561405446	0.845746253267988	1.18657942015573
PAAD	0.336211891607005	1.39963556442166	0.133021142251054	2.52750717605825	0.0114875476362776	1.07841809833155	1.81653082067588
PCPG	-0.0643989414379589	0.93763086510123	0.371179920914405	-0.173497912492981	0.862260068589594	0.452984115962358	1.94080014775515
PRAD	-0.134240793165156	0.874379494646385	0.430572644282433	-0.31177269375502	0.755213277625043	0.376006943620522	2.03331218646234
READ	-0.117950525552618	0.888740021448369	0.302302730343729	-0.390173537031917	0.696408228381156	0.491421538259116	1.60729386937772
SARC	-0.0832303490988195	0.920139169578132	0.0899680452303331	-0.925110119773482	0.354908629604965	0.77138746924742	1.09757563500214
STAD	-0.133365850110658	0.875144861689685	0.113467154064851	-1.17536965838091	0.239846856927328	0.70064258566276	1.09310873277477
THCA	0.523176446982882	1.68737901601807	0.347963715884244	1.50353736065092	0.132700530219177	0.85314999396985	3.33733571332445
THYM	-8.21336947664428e-05	0.999917869678113	0.241614551215301	-0.00033993687198605	0.999728769623419	0.622732670741642	1.60556173311232
UCEC	0.0907798136400047	1.09502786851147	0.127594891799233	0.711469027951715	0.47679363696963	0.852739152053424	1.40615806126566
