	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.264417916735513	1.30267249119296	0.158121630401532	1.67224380411494	0.0944762559360051	0.955524586548213	1.77594134489103
BRCA	-0.0205883621345032	0.979622131147511	0.191686511662369	-0.107406420806316	0.914466560908529	0.672813556389516	1.42633796646988
CESC	-0.0808769763386084	0.922307150067946	0.271431831086962	-0.297964229231085	0.765730465161058	0.541791742924906	1.57006910897932
CHOL	0.148649066852146	1.1602657420458	0.55231965441661	0.269135935437889	0.787825077817065	0.39302676552986	3.4252542326225
COAD	0.215730842128788	1.24076837147878	0.187086309799025	1.15310865001578	0.248865791659578	0.859889327406618	1.79035383112053
ESCA	-0.125818819265834	0.881774592879628	0.255237215330012	-0.492948565918003	0.622048930204182	0.534686562195665	1.45417238363941
GBM	-0.567523452884213	0.566927724790722	0.254978911231979	-2.22576624138096	0.0260298431432501	0.343945200312356	0.934471668290462
HNSC	0.106769334289483	1.11267756831424	0.141896061034993	0.752447485227606	0.451781999464037	0.842533516890822	1.46943871811586
KICH	-1.77691395873128	0.169159375402646	0.800167565127997	-2.2206773133163	0.0263728251053404	0.035252685508789	0.811708210980954
KIRC	0.130966782746019	1.13992991534157	0.205020227338103	0.638799324566347	0.522953487739404	0.762719091285824	1.70369435711908
KIRP	-0.403097338572023	0.668247049944105	0.416763818015667	-0.967208095201943	0.333440016158215	0.295248054888344	1.51247099638938
LIHC	0.206199074812538	1.22899784215889	0.174581972558222	1.18110175862386	0.237562301407438	0.872864188693418	1.73043609257492
LUAD	0.0545786469619902	1.0560955318528	0.162786728073488	0.335277006964297	0.737416136761863	0.767606937312628	1.4530063736842
LUSC	0.0987153247276957	1.10375204391694	0.163946054732655	0.602120770083	0.547093749879595	0.800424523284456	1.52202804763126
PAAD	-0.492289457334168	0.611225416544361	0.340113667375385	-1.44742627114372	0.147777572255757	0.313831206653124	1.19043773184342
PCPG	-0.277176868489615	0.757920433012766	1.11618814488851	-0.248324504931291	0.803883340483252	0.085020282573777	6.75654520766595
PRAD	0.364049325090491	1.43914519837452	0.806454107780912	0.451419766578202	0.651687039613695	0.296244046971852	6.99132665508459
READ	-0.423469145270721	0.654771378148373	0.46556596963317	-0.909579249540901	0.363044445991684	0.262905223629634	1.63072285793105
SARC	-0.24087379999508	0.785940805863556	0.237064199302793	-1.01606991145643	0.309596095962981	0.493856103517827	1.25077516693921
STAD	0.117237271004565	1.12438618228195	0.199095882225183	0.588848296078601	0.555963044442425	0.761105355180674	1.66106344975915
THCA	-0.154823528250676	0.856566323904276	0.73467949290908	-0.210736150586738	0.833093163921013	0.20295543125103	3.61510831577296
THYM	-1.49201261301467	0.22491952374218	0.661397139465599	-2.25584981244431	0.0240800385162222	0.0615240461767023	0.822260486820285
UCEC	-0.317760364581118	0.72777716870659	0.196046351377704	-1.62084304220954	0.105051304827667	0.49559106770588	1.06874324782003
