	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0369938022229981	0.963682108017351	0.0461062012891412	-0.80236066274475	0.422344361008471	0.880416404748304	1.05482269560647
BRCA	-0.0788652750181695	0.924164424093536	0.0742701494200873	-1.06187042350071	0.288294513720357	0.798969830495724	1.06897638704358
CESC	-0.0878089234917894	0.915935873832392	0.0785481311231939	-1.11789958890392	0.263609880655658	0.785244274776629	1.06837904066445
CHOL	-0.103207474711526	0.90193982436296	0.170993542374729	-0.603575277043786	0.546126053882757	0.645100823205554	1.26103613188644
COAD	-0.0435783309327919	0.957357560443119	0.0801498415573494	-0.543710755829885	0.586640529709114	0.81818309594584	1.12020585988527
ESCA	-0.0221977304126811	0.978046826327856	0.0856331676182026	-0.259218840434003	0.795466395236379	0.826929649384605	1.15677989681694
GBM	0.0180614735700934	1.01822556842675	0.0893851365421806	0.202063500362504	0.839867081753976	0.854592805124204	1.21318983963045
HNSC	-0.0597635146494768	0.941987273436402	0.0486092751239607	-1.22946730839066	0.218896647678569	0.856384395728779	1.03614688420499
KICH	-0.159501587646231	0.852568613818003	0.284487836796088	-0.56066223935105	0.575027813596073	0.48817198750544	1.48896958422763
KIRC	-0.0431314224846602	0.957785507244162	0.0947554791199242	-0.455186580082322	0.648975014273284	0.79544883692038	1.15325214559183
KIRP	-0.267978132582067	0.764924507843878	0.135184696429181	-1.98231116140022	0.0474444255890512	0.586879789022458	0.996983562297813
LIHC	-0.100885104856752	0.904036896367755	0.0603307779061478	-1.67219963604135	0.0944849622465965	0.803216283705795	1.01751262589392
LUAD	-0.188776488172783	0.827971547448019	0.0702293565987096	-2.68799968154986	0.00718814652083056	0.721499569267902	0.950155637762991
LUSC	0.106333148834881	1.11219234037566	0.0660205689131578	1.61060636988374	0.107265544574468	0.977199170479505	1.26583386412753
PAAD	0.217797138476749	1.24333481723904	0.102751801607744	2.11964301422366	0.0340361620903901	1.01654264702653	1.52072465654114
PCPG	0.309661068099357	1.36296308416963	0.399836900251924	0.774468459274894	0.438653813142427	0.622504229627177	2.98418593865903
PRAD	-0.256364396649874	0.773859925443241	0.305388058335283	-0.83947092773488	0.401205096704276	0.425319770286264	1.40802103745131
READ	-0.0854691758447824	0.918081441702877	0.176328802505027	-0.48471477507111	0.627878684288461	0.649815190913078	1.29709730610465
SARC	-0.202166917235375	0.816958552097882	0.0616345274576094	-3.28009194804681	0.00103773259896796	0.723996753113431	0.921856725152054
STAD	0.0392468872567553	1.04002722142386	0.0661669793463264	0.593149145457164	0.553081342894468	0.913530962635462	1.18403936543338
THCA	-0.362612976831922	0.695855693665861	0.22795920374826	-1.59069241719393	0.111678814274738	0.445122921832518	1.08782343630775
THYM	0.638414246709563	1.89347591170866	0.414348477218264	1.54076648476077	0.123373629117391	0.840554197562368	4.26534188826644
UCEC	-0.176764176211205	0.837977376223452	0.0802553175571925	-2.20252291800151	0.0276283920802405	0.71600959720686	0.980721607366204
