	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.276304768178588	0.758581703963519	0.128606172497941	-2.14845650727232	0.031677507940074	0.589566219035634	0.976050158588574
BRCA	-0.296615041050645	0.743330108868435	0.1367006838344	-2.16981387898517	0.0300209485261929	0.56861968626054	0.971720930705146
CESC	-0.821132545767934	0.439933127855035	0.239728470287142	-3.42526085777128	0.000614209386675719	0.274997928629688	0.703791326533726
CHOL	-0.290179127480813	0.748129545014641	0.445974951341157	-0.650662389464191	0.51526444676299	0.31214920943677	1.79304575889752
COAD	0.480860156046257	1.6174650763738	0.183723592503304	2.61730216296315	0.00886278474493344	1.12836370163012	2.31857269913004
ESCA	0.0990990907900748	1.10417570778138	0.221054902127794	0.448300805981605	0.653936119042338	0.715938824734671	1.7029443739224
GBM	-0.0597236406088543	0.94202483502407	0.210104328904149	-0.284257068478111	0.776213384010289	0.62405263809004	1.42201272078284
HNSC	-0.108703366764801	0.896996456999208	0.108497643674815	-1.00189610652378	0.316393773261722	0.725165886905968	1.10954287618533
KICH	-0.509320682810934	0.600903644368192	0.787676843121249	-0.646611217860232	0.517883595941248	0.128331447691322	2.81369217219072
KIRC	0.341419321224727	1.40694307828256	0.130750295665277	2.6112317336457	0.00902167382932866	1.08888414397063	1.81790582266077
KIRP	-0.496091288675242	0.608906052308761	0.250170542951592	-1.98301239955032	0.047366044522669	0.372910608762184	0.994250557174918
LIHC	-0.172169131210583	0.841836780253539	0.143378316581286	-1.20080312920242	0.229827577749588	0.635600239268925	1.11499197263171
LUAD	-0.3309741899843	0.71822370616648	0.122730287900441	-2.6967604789845	0.00700176130331626	0.564665852619421	0.913540795333321
LUSC	0.0437313440527449	1.04470165187198	0.126209596594371	0.346497772220082	0.728968658155135	0.815760134723277	1.33789516668926
PAAD	-0.74245166320603	0.475945625601154	0.192246998794004	-3.86196750983656	0.000112477527457335	0.326524969483092	0.693742469029166
PCPG	-0.550756168712742	0.576513703890876	0.736921861303318	-0.747373904390184	0.454837892901486	0.136000532707415	2.44387315371048
PRAD	-0.0488973302764577	0.95227889489053	0.467762435824757	-0.104534538328718	0.916745160788447	0.380718562539367	2.38190407004429
READ	0.295289492602007	1.34351524011711	0.339584682635295	0.86956069487722	0.384540525439876	0.690538013808902	2.61395196836543
SARC	0.112790430888589	1.11939731726425	0.174785351734057	0.645308258212648	0.518727442117486	0.794706381864512	1.57674630843978
STAD	0.0323923947509963	1.03292273925515	0.180952466144479	0.179010518293424	0.857929442696266	0.724504053889882	1.47263411369749
THCA	-0.121534226850356	0.885560742875127	0.537908857254527	-0.225938326189057	0.82124938846596	0.308567020143179	2.54148297817978
THYM	0.069824346140264	1.07231980759735	0.555522171063904	0.125691376109329	0.899976228594192	0.360963258889375	3.18555903252749
UCEC	-0.0419003941676412	0.958965294351888	0.164237163699756	-0.255121272334196	0.798629434717522	0.69503065954149	1.32312786946416
