	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.327758990889295	1.38785444641322	0.171850148152383	1.90723717385838	0.056489881695757	0.990979817920587	1.94367224195408
BRCA	0.175834249451119	1.19224042776711	0.168524922267238	1.04337238128073	0.296775859853537	0.856870458553523	1.6588706302255
CESC	0.0850112366721319	1.08872930032385	0.287724543260109	0.295460497421939	0.767642124518471	0.619452964592257	1.91351330470085
CHOL	-0.347761320540841	0.706267427626352	0.576238720952196	-0.603502173484956	0.5461746700532	0.228283166998132	2.18506553017124
COAD	-0.329056816250003	0.719602130491036	0.17241651678953	-1.90849938496139	0.0563267025840277	0.513252691277451	1.00891283184195
ESCA	-0.417082926184459	0.65896627211965	0.294212468484347	-1.41762491689454	0.156300301530113	0.370193747606669	1.17299806006623
GBM	-0.586312415661846	0.556375186933281	0.341941756368693	-1.71465579953817	0.0864083518425715	0.284646863353666	1.08749959506995
HNSC	0.140948180222439	1.15136498296153	0.166574639380316	0.846156298142311	0.397465557738648	0.830662159516594	1.5958850524279
KICH	1.81876624379513	6.16424857655492	0.939443357085397	1.93600415616095	0.0528671919394754	0.977742533674181	38.86295134443
KIRC	-0.597310292875909	0.550289765638065	0.158537815321406	-3.76762030979783	0.000164811118490227	0.40331446905409	0.750825594916567
KIRP	0.150076757527388	1.16192342567468	0.31020915920855	0.483792154655542	0.62853338343396	0.632596802793761	2.13416514463752
LIHC	0.0566250269572361	1.05825891742177	0.186974965480377	0.302848174416049	0.762005568412559	0.733564924961276	1.52667050753799
LUAD	0.19935971118547	1.22062095795176	0.175535628769796	1.13572220399152	0.256072844815972	0.865295857094148	1.72185676237319
LUSC	0.0189803905459594	1.01916166321766	0.176728891141335	0.107398345699913	0.914472966857319	0.720794018515936	1.441036508476
PAAD	1.44271207732906	4.23215820685267	0.307192428716893	4.69644412577191	2.6472960687731e-06	2.31781743178136	7.7275987496844
PCPG	2.49686810436804	12.1443993463981	1.1935269521538	2.09200814431738	0.0364377871573052	1.17069578907606	125.981862120811
PRAD	0.307949556109204	1.36063235161624	0.767261160845187	0.401362106964959	0.688153543699484	0.302445347914852	6.12117332611757
READ	-0.542613368065351	0.581227304964425	0.400692439858383	-1.35418918374683	0.175676028901135	0.265018374128591	1.27472361547389
SARC	-0.152356013777035	0.858682523508991	0.213587603070829	-0.713318617684528	0.475648619440458	0.564971482059749	1.30508476904289
STAD	-0.30220886885666	0.739183656319365	0.23033303967901	-1.31205175461504	0.189502672740889	0.470643989796342	1.16094646827659
THCA	-0.112285921568777	0.893788667504784	0.599687799390798	-0.187240630346064	0.85147196971768	0.275917765060012	2.89527635883187
THYM	-0.716908915990861	0.488259175882961	0.856748466074698	-0.836778756401479	0.402716940537025	0.0910719838991589	2.61767683789427
UCEC	0.209816542281091	1.23345175295351	0.164591760346851	1.27476941639688	0.202390868709523	0.893349515315033	1.70303246465364
