	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.076087314542286	0.926735285559365	0.137310313121534	-0.554126728084445	0.579492119254016	0.708071230026874	1.21292640214771
BRCA	0.0182951360643273	1.01846351735155	0.119917657471588	0.152564154854859	0.878741994291607	0.805139959703404	1.28830760872705
CESC	0.134515014079556	1.14398183470773	0.199104977561913	0.675598449253873	0.499295626371176	0.774355993597123	1.6900423693526
CHOL	-0.253447709396825	0.776120327664149	0.373373268104364	-0.678805182501664	0.497261309638106	0.373347421589972	1.61341080232516
COAD	-0.230643644545995	0.794022369827184	0.179403825582293	-1.2856116295034	0.198578636019434	0.558629575354417	1.1286039114309
ESCA	-0.124442508803127	0.882989024002987	0.2373897631057	-0.524211773814855	0.600131252732814	0.55448368540993	1.40611822678487
GBM	-0.066187538540392	0.935955320136875	0.216786284626119	-0.305312389363296	0.760128240794606	0.611964595428752	1.43147555893944
HNSC	0.0613059459154766	1.06322415351884	0.111564682000382	0.549510336212556	0.582655273166512	0.854399143912366	1.323088405086
KICH	1.79978348751942	6.0483377820202	0.942225605423056	1.91014071063302	0.0561150985101575	0.95414009861546	38.3406901968561
KIRC	-0.142778726639858	0.866945879701258	0.145945672376089	-0.978300516317677	0.327925714632072	0.651272597280938	1.15404081404453
KIRP	0.459420323497314	1.58315600061956	0.261202445033824	1.7588668568467	0.0786001257509806	0.948828644036312	2.6415548666781
LIHC	0.11868004333495	1.12600958637406	0.122252197548025	0.970780449883759	0.331657619995473	0.886096107405653	1.4308804406313
LUAD	-0.0728359187644397	0.929753372592905	0.140136559161759	-0.519749587117843	0.603238120485109	0.706453054082826	1.22363592152655
LUSC	-0.148937347928651	0.861623095679603	0.109602085277517	-1.3588915534913	0.174180955776834	0.695062515082859	1.06809724722387
PAAD	-0.095030533266914	0.90934516876559	0.177701328635534	-0.534776717746563	0.592804264373611	0.641902576121211	1.28821516958856
PCPG	0.41940869919144	1.52106188453453	0.870059993665682	0.482045723564893	0.629773465460464	0.276407914635542	8.37034373503515
PRAD	-0.169470238109992	0.844111876471344	0.473514490031267	-0.35789873737296	0.720419095653278	0.33369042578236	2.13528709530521
READ	0.346038624165651	1.41345720836873	0.42165130434899	0.820674857628909	0.411831495707326	0.618546600013554	3.22992848048271
SARC	-0.0521818119782136	0.949156283172998	0.138811644934771	-0.37591811553515	0.706977772403739	0.723071161261745	1.24593220992901
STAD	-0.070092716736465	0.932307375401355	0.154896063735433	-0.452514512287319	0.650898368932429	0.688194743970904	1.2630102886466
THCA	0.168050875710979	1.18299679491987	0.567876798274858	0.29592840598788	0.767284757277387	0.388692321136439	3.60048640194112
THYM	-0.222110522139949	0.800826850346142	0.409102766836451	-0.542921095003846	0.587184130996633	0.359177993007068	1.78553156574574
UCEC	0.168954648536117	1.18406643855996	0.200820967449812	0.841319761983223	0.400168822544175	0.798797972995227	1.75515384154892
