	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.186968217913738	0.829470098256698	0.147438737486981	-1.26810783312797	0.204759444597703	0.621298998836876	1.10739055622174
BRCA	-0.178433871842805	0.836579376500795	0.0801352117998778	-2.22666001418214	0.0259700047226641	0.714983366021706	0.978855014600736
CESC	0.0467747927697311	1.04788599100249	0.222484495273931	0.210238438018524	0.833481580695858	0.677539920250129	1.6206647273771
CHOL	-0.227690406389013	0.796370772977328	0.492857335679078	-0.461980353960427	0.644095409062637	0.303105898711353	2.09235917462781
COAD	0.166900542691055	1.18163673705392	0.122499273727904	1.3624614874189	0.173052290356519	0.929420856326259	1.50229615448321
ESCA	-0.263021582334268	0.768725306245604	0.29474558100244	-0.89236819578337	0.372195612305207	0.431403123056411	1.36980602336791
GBM	0.111006928086655	1.11740264829002	0.141760936075133	0.783057245247178	0.433593496578329	0.846335521031892	1.47528804756204
HNSC	-0.219200238315759	0.803160878469442	0.131024826616371	-1.67296720763889	0.0943337517623226	0.621260885642123	1.03831966829374
KICH	-0.469105469229356	0.625561602176794	0.698032274716703	-0.672039798474566	0.501558360179333	0.159258981445125	2.45717581870153
KIRC	0.468284267666062	1.59725138508109	0.120091167006709	3.89940642045641	9.64287968552511e-05	1.26226775078637	2.02113377732585
KIRP	-0.675460531741028	0.508921991899785	0.25398514802756	-2.6594489362336	0.00782685935212081	0.309356088848109	0.83722804617695
LIHC	-0.143437118216021	0.866375277697462	0.112130181436099	-1.27920169555566	0.20082603894241	0.695441602852384	1.07932300674379
LUAD	-0.0821826239101817	0.921103727770873	0.0851770570432678	-0.964844604438905	0.334622650969981	0.779481294142178	1.08845726470845
LUSC	0.0954024921504307	1.10010154826772	0.080671792605296	1.18260037454737	0.236967564011858	0.939214570846865	1.2885483829428
PAAD	-0.311846818009297	0.732093663204275	0.145846913518288	-2.13817907068835	0.0325022123572505	0.550074521794962	0.974342767148978
PCPG	-0.427913522523947	0.651867784242055	1.30620807532434	-0.327599814001833	0.743214262588669	0.0503863836301325	8.43346113608608
PRAD	1.03891434303131	2.82614712191059	0.732783236716059	1.41776488731807	0.156259418691948	0.67212267071818	11.8834074532095
READ	-0.091615619872569	0.912455812028231	0.298657155015344	-0.306758496604115	0.759027200993593	0.508152902546111	1.6384352125757
SARC	-0.0477341974761496	0.953387166116579	0.198561551978559	-0.240400001916303	0.81002017671914	0.646031065033555	1.40697117787763
STAD	-0.0986920286405026	0.906021693794302	0.138357162885471	-0.713313474938756	0.475651801045788	0.690826145762233	1.18825165298307
THCA	0.600040467346123	1.82219253819466	0.671522199740055	0.893552689067314	0.371561269307956	0.488645080899454	6.79508660997963
THYM	-0.106245429586787	0.899203929742713	0.784524191792768	-0.135426581739945	0.892274608537706	0.193227970951547	4.18452723631556
UCEC	0.205867221414177	1.22859006271363	0.151286009309138	1.36078162385464	0.173582710796334	0.913339233551125	1.65265378596506
