	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0369501087361515	1.03764125031332	0.105487140561481	0.350280693357272	0.726128053053322	0.843832817450766	1.27596289464602
BRCA	0.12450284811037	1.13258524618344	0.122575081747444	1.01572722885797	0.309759297905463	0.890706868238801	1.44014757897711
CESC	-0.212817709859105	0.808303469540814	0.168993776257895	-1.25932276662267	0.207913773232848	0.580399032494961	1.12569880770328
CHOL	-0.668306712430375	0.512575781566064	0.408116109199019	-1.63754063455622	0.101517555712271	0.230339818669584	1.14063618424978
COAD	0.155212728945602	1.16790638217425	0.184633603727355	0.840652653754196	0.400542551955404	0.813294102875432	1.6771366135582
ESCA	-0.349631824179986	0.704947586601307	0.177701518087096	-1.96752300117449	0.0491229468625557	0.497619077318852	0.998657653023586
GBM	-0.295903617987982	0.743859119203821	0.159991174206031	-1.8494996330668	0.064385700737785	0.54363318204634	1.01783041855513
HNSC	-0.159645623152269	0.852445822509645	0.100197848140046	-1.59330390937272	0.111092030109831	0.700451748678998	1.03742175201159
KICH	-0.796923872069231	0.450713285577198	0.491842615858089	-1.62028227399304	0.105171654887703	0.171887053216843	1.18183692136207
KIRC	0.013000224118328	1.01308509441072	0.120030650590863	0.108307536902725	0.913751744204291	0.800710734114325	1.28178799757496
KIRP	-0.257639034248725	0.772874162864514	0.268786651118511	-0.958526151416385	0.337797510987954	0.456370093557095	1.3088817169585
LIHC	0.127285115607695	1.13574078904843	0.124061720642055	1.0259821881315	0.30489997997652	0.89058975582887	1.44837410431229
LUAD	-0.0679337393183471	0.934322380364005	0.120699600134434	-0.562833176271364	0.573548486818575	0.737491579448552	1.18368580032032
LUSC	-0.0972156842094264	0.907360281741669	0.086086911597742	-1.12927368870759	0.258782396669302	0.766482869061294	1.07413056979423
PAAD	0.271130255136749	1.31144588182249	0.209043488448516	1.29700406910079	0.194629786726424	0.870587112115172	1.97555221874412
PCPG	-0.617968112673559	0.539038591301838	0.764712514449408	-0.808105138855345	0.419030059588799	0.120419102564187	2.4129278222929
PRAD	0.0496406386859056	1.0508933780861	0.828163454707226	0.0599406293573466	0.952202920504159	0.207312097072448	5.32712228423056
READ	-0.0712715709455608	0.931208968485704	0.365842141496823	-0.194815093345882	0.845537705898216	0.454612899575007	1.9074472893287
SARC	-0.207522044395855	0.812595328402565	0.0980424367992476	-2.11665530938178	0.034289112325069	0.67053344992133	0.984755000394303
STAD	0.133497338947205	1.14281822503143	0.114812393764462	1.16274327683712	0.244933677377031	0.912533193444124	1.43121752156182
THCA	-0.403629518936146	0.667891516598065	0.363088823898854	-1.11165503416482	0.266286500260342	0.327826577693652	1.36071663585652
THYM	0.492740165418521	1.63679517014308	0.535111707468862	0.920817389231188	0.357145774624428	0.573464348612698	4.67177852552628
UCEC	0.185359055918774	1.20365054039964	0.124205213410819	1.49236131744071	0.135604450072379	0.943575695432289	1.53540900896202
