	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0696739987677112	0.932697830991518	0.0969766507132886	-0.718461591065899	0.472472722223661	0.771248428391127	1.1279442679073
BRCA	0.0779409825922933	1.08105885549612	0.0993759036607862	0.784304642484966	0.432861376046654	0.889734469618572	1.31352475255635
CESC	0.0586801876824726	1.06043604599426	0.162346318817967	0.361450682157251	0.717762566287114	0.771427372059947	1.45771935035326
CHOL	-0.227934421171186	0.79617647044394	0.263647552637056	-0.864542146859852	0.387290137838943	0.474889027312998	1.33483179359874
COAD	-0.0586670216379106	0.943020722379939	0.172581603314364	-0.339937864240641	0.733903321267148	0.672387311205153	1.32258308272365
ESCA	0.283897650759576	1.32829697360905	0.240904368361841	1.1784661801282	0.238610807470995	0.82839413040312	2.12987125975938
GBM	0.127962815991687	1.13651074188648	0.114710483714133	1.11552851882815	0.264624004394545	0.907677989188496	1.42303402947796
HNSC	-0.0253267037221306	0.974991326694183	0.0869992654395476	-0.291113994976534	0.770964136804793	0.8221420154469	1.15625776236743
KICH	-0.376174468819009	0.686482552793389	0.647008935891906	-0.581405368537067	0.560967280086727	0.193149905168611	2.43985776166104
KIRC	0.0341722200311258	1.03476279826493	0.162836943225288	0.209855450208543	0.833780493511113	0.752027547008461	1.42379631295742
KIRP	0.481526225662703	1.61854277958968	0.228602804092211	2.10638809779635	0.0351706543201481	1.03403948589567	2.53344361128796
LIHC	0.108904410524777	1.11505575765224	0.101707947986617	1.07075614719026	0.284279089519299	0.913529596686058	1.36103892767549
LUAD	-0.0535959335888609	0.94781500934675	0.102785277436387	-0.521435899436384	0.602063148572036	0.774876687257215	1.15935000589943
LUSC	0.073550099737317	1.07632245879359	0.123242752578353	0.596790465959099	0.55064728410741	0.845352772352971	1.37039833923887
PAAD	0.558486990842098	1.74802571957732	0.169405224247663	3.29675187599654	0.000978098687821435	1.25415100362354	2.43638438072884
PCPG	0.285733565962811	1.33073785415657	0.636108004403709	0.449190332435227	0.653294360856845	0.382504365409222	4.62965497031821
PRAD	0.464607119520719	1.59138884044119	0.360185361201764	1.28991116676855	0.197081503163943	0.785571959096547	3.22378925591145
READ	0.0590438868506504	1.06082179584629	0.360315588364701	0.1638671452396	0.869835731729487	0.523529609609439	2.14953053635701
SARC	0.119438453283231	1.12686388716038	0.111762626481257	1.06867972813131	0.285214009106834	0.905188319180057	1.40282656468263
STAD	0.0388880600475612	1.03965409830588	0.115549087058923	0.336550128065752	0.736456057015815	0.828959491749235	1.30390043769615
THCA	-0.0175364279058025	0.982616440353974	0.340680882576129	-0.051474646223754	0.958947304443911	0.503959844358718	1.91589683119008
THYM	0.0361327096673016	1.03679342987254	0.341071451702245	0.105938827442073	0.91563088754591	0.531338995504521	2.0230787224758
UCEC	0.126055609346015	1.13434524672646	0.112890380755942	1.11661957823081	0.264157016913144	0.909186103772568	1.415264854392
