,hsa-mir-23a,hsa-mir-27a,hsa-mir-24-2,AR,ARNTL,BCL6,BRD1,BRD4,BRD7,CDK8,CEBPA,CEBPB,CREB1,CTCF,CTCFL,E2F1,E2F6,EGR1,ELF1,EP300,EPAS1,ERG,ESR1,ESRRA,ETS1,EZH2,FLI1,FOS,FOSL1,FOSL2,FOXA1,FOXO1,GABPA,GATA1,GATA2,GATA3,GTF2B,GTF2I,HAND2,HEY1,HIF1A,JMJD1C,JUN,JUND,KAT7,KDM1A,KDM5B,KLF1,KLF3,KLF5,KMT2A,LARP7,LMO2,LMO3,LYL1,MAF,MAFK,MAX,MAZ,MED1,MED12,MEF2A,MEN1,MYC,MYCN,NCOR1,NFATC3,NFE2,NFE2L2,NFIC,NFKB1,NFKB2,NOTCH1,NR2F2,NR4A1,PAX5,PBX3,PGR,PHF8,RARA,RELA,RUNX1,RUNX1T1,RUNX2,RUNX3,SIN3A,SMAD1,SON,SP1,SPI1,STAT1,STAT3,STAT5B,TAF1,TAL1,TBP,TCF12,TCF3,TCF4,TEAD4,TFAP2A,TFAP2C,TFAP4,TGFB1,USF1,YY1,ZIC1
hsa-mir-23a,1,0.792814779398317,0.68810394013534,-0.285088906152048,0.057833581355838,-0.0705830525137858,0.115758052585608,0.172431198287795,-0.0773928358322778,0.0256373138567782,-0.0534032397448779,0.267206759019051,0.0660046255100817,0.0119450305254765,-0.0179499196962656,0.178732346392888,0.0334239169448213,0.0516987881422373,0.297759242301411,0.0682408810989051,0.0164377847271208,-0.0310880867729601,0.0411674707413455,0.0494984471600859,0.186454307902583,0.165905478423493,0.00635723610271501,0.0586785205507664,0.388836504961204,0.33808107631507,0.0614616619609731,0.0244572324697483,-0.0894405818776351,-0.0604883130505118,-0.137090055798515,0.205935112297244,0.112812539699523,0.0138371612611413,0.086434606079933,-0.175652641084084,0.102345594474108,-0.127917794999165,0.0225630743170772,-0.0944744241902584,-0.148725056701722,0.121364144930266,0.174711398149323,-0.0533270306786753,0.111664348089159,0.390963980248913,-0.127623909302898,-0.114320379406952,-0.210359943797775,-0.194310059606757,-0.000433933955710445,0.0412327148492728,0.176048269225094,0.153650431497718,0.0172398919112336,0.07592362629245,0.0632562406444113,0.0132959406967305,0.0029548620002247,0.208419661234071,-0.101877971463737,-0.0250856339044601,0.206094704710742,0.13893347951841,0.208547046918935,-0.101241670665953,0.368658490648331,0.278174472691232,-0.012919822487939,0.0311734271125354,-0.0161249484209373,0.00368173831684105,-0.0941404697585217,-0.0555514747623138,-0.0944172697939983,0.0265143598634542,0.121515442825694,0.408204827875398,-0.162029602258781,0.299394532367375,0.378277117848655,0.0756518955217204,-0.0203009432385412,-0.00498595772104844,0.296077302568345,0.129008144457627,0.245189372967881,0.213658989730443,-0.208946361396741,0.0389685407653614,-0.235538666733976,0.0229344395569182,-0.286024846926314,0.123718321845639,-0.131933841137665,0.425980452639746,0.216311790755276,0.311112890652047,0.147221191463978,0.299377877543365,-0.0373436969397851,0.0899363620752561,-0.156025828294276
hsa-mir-27a,0.792814779398317,1,0.829549962697252,-0.379611590995902,0.065009186822984,-0.0410438515185829,0.129416719978544,0.168980607990106,0.0100663017944293,0.154370679169197,0.0587217309722293,0.369031628505179,0.0358396959803962,-0.0389057878416965,-0.0109243712191645,0.231105069907999,0.0183447023972677,0.102137379022658,0.29331045318493,0.0244635088902883,0.0426550274052633,-0.064130108207611,-0.0725879119072404,0.143757593301623,0.0860820755773309,0.270011450984274,-0.0669448107517349,0.158955969420637,0.563721663170438,0.397926616266473,0.208008938118143,0.036465087961757,-0.149415167079677,-0.00830516579259299,-0.106300429960229,0.148074719360769,0.141488979654822,-0.0608140419642765,0.0913552916130311,-0.159904362352835,0.215544586575384,-0.133422454420549,0.0984319807310481,-0.0566496354136358,-0.263541738781417,0.186797918317475,0.204207337060987,-0.00787337101276429,0.251288433490108,0.5749471185791,-0.19572537898281,-0.0723821592381646,-0.246460385689782,-0.172461684501507,-0.0369602701008029,0.00575808526450291,0.253976390012088,0.0726144836531043,-0.00985966318252362,0.0358504549259462,-0.0671177570569977,-0.0844955689166004,0.0305759275598451,0.238920826643524,-0.100909718118926,-0.0571934304209513,0.128281061248441,0.170016687517825,0.305114636726209,-0.211916130649699,0.381501680729348,0.339032289196476,0.0886845032005835,-0.0935514660138167,-0.0345985419783223,0.136808545082547,-0.0931251684679613,-0.102947751721395,-0.131744430101872,-0.0945759443686774,0.116485272619013,0.449893764303674,-0.254048401826908,0.353523398747371,0.394903665682725,-0.0404091894275267,0.00306069363327274,-0.047818062134112,0.242002419175493,0.119096212080641,0.318490409831513,0.237290754753169,-0.318162751798777,0.00307768605885413,-0.235179914916164,0.0366959025253043,-0.319814963666888,0.221526162603394,-0.154707155987033,0.444367048409805,0.231803785324449,0.340021647750458,0.195747597896367,0.338224115930626,0.0166242483789489,0.116803626040955,-0.17725200209063
hsa-mir-24-2,0.68810394013534,0.829549962697252,1,-0.335001273220291,0.0175325263275668,-0.044962135235467,0.0887790820873668,0.164975478537128,-0.00238219870119729,0.1490802712886,0.0744092965190653,0.349895576202539,0.01258949757236,-0.0878224446009599,0.0391871765634069,0.185523855198211,0.0502934575759868,0.138757369315876,0.208154614970622,0.0189827379185668,0.0794671781676337,-0.0266414719448162,-0.0846817743476218,0.126619792212248,0.0266804516983426,0.179505319953859,-0.124520117200363,0.183122771258063,0.488490009932169,0.329918618287206,0.190489809105612,0.0332842166112916,-0.127588995051495,-0.052784717780576,-0.044548784909051,0.079807522024067,0.132204054742281,-0.0462821259544647,0.13033457256451,-0.123376734243529,0.161615755241633,-0.147144884965364,0.130130870202629,-0.021413204255007,-0.224952181773702,0.18913830124059,0.168999359970443,-0.0303603571162968,0.257975203325762,0.533963772928834,-0.179959407658905,-0.110808594207016,-0.254235546569645,-0.134634479096857,-0.0998244260584588,-0.00320895997974482,0.189618202245589,0.0216359460472322,-0.0102186603656884,0.00562725310104998,-0.0405543640574465,-0.0756862487613804,0.0586628179706439,0.200978365421667,-0.0581049977802656,-0.0768486143985287,0.116003746842889,0.148833655453646,0.282234812964985,-0.171663845997302,0.253792911182977,0.239721164285393,0.0544026989920647,-0.0959359814548034,0.0174833987116268,0.107916881681575,-0.0661986838427669,-0.127035183872508,-0.0612100258872789,-0.111269131306221,0.118777316626023,0.312194948153109,-0.239685633656931,0.251890458595939,0.312683129240952,-0.0500349120039136,-0.015955196647038,-0.0633750854306428,0.135215464763632,0.0100006952004864,0.242344302733928,0.196016780478415,-0.307468472402654,-0.039711739112747,-0.214866335872932,0.028176804321632,-0.326888758473027,0.138068176309656,-0.142641528093832,0.352904576505321,0.186338346048661,0.310520121414054,0.154541050240219,0.246959430930444,-0.0385987836748531,0.129096341222237,-0.134667030338887
AR,-0.285088906152048,-0.379611590995902,-0.335001273220291,1,-0.0241215646264478,0.193903672425857,-0.181083484314596,-0.17748156564855,-0.200209896106883,-0.335965747275858,-0.0133741278582446,-0.169684634608167,0.110613453019682,-0.0522067121722648,-0.0198724343748433,-0.390035322225441,-0.201247222348661,0.112888641939903,-0.0572948419899564,0.0510995257044708,0.0423946302297014,0.294207749211168,0.590076621963831,-0.304959278185144,-0.0211760487429834,-0.340684123440432,0.178329198243764,0.0413387053343554,-0.473898340543122,-0.0414795777081703,0.171156593765298,0.116718354660282,0.150233536650324,0.0872292633372013,0.288698782724004,0.237415933375666,-0.104518701673042,0.0567391188865932,0.0560635357811352,-0.0645732045030813,-0.175564332527117,0.183086892603574,0.134785968848087,0.078555299880231,0.0683030794495737,-0.183066414395054,0.0443965461803956,-0.056536245208709,-0.132990444534281,-0.362894866174399,0.121578425360856,0.108275468801685,0.254438898248585,0.0777517356979325,-0.0062017105865651,0.108666097076596,-0.21932131351463,-0.0598366773125936,-0.0902453037833139,0.0384754141998225,0.0222855953568263,0.179472954605854,-0.0767172809407061,-0.210395246942272,-0.151375074995649,0.116626641009114,0.0409148652845628,-0.078270674124896,-0.151331132288951,0.443289915232995,-0.0882052010192901,-0.107926546914288,-0.282165397904663,0.40528320965211,0.0598153353225257,-0.192821736615773,0.102768631277684,0.515030930112197,0.250140221958252,0.279442233420041,-0.051066015412869,-0.0503269949168145,0.22074674276696,-0.0428551435195232,-0.204297890375434,0.113963863872115,0.0989377332838726,0.101593712140529,0.110786026749458,-0.0371488059148779,-0.127566299056991,0.107929550085709,0.220538153841195,0.0505606265200633,0.222627659312484,-0.238999866996685,0.082105790092952,-0.318865308795039,0.151819788011401,-0.291211191635979,-0.0516874504423234,-0.0574006385378181,-0.301647027001719,-0.212408738252601,-0.0673302155616489,-0.125816205648091,0.0947629544112783
ARNTL,0.057833581355838,0.065009186822984,0.0175325263275668,-0.0241215646264478,1,0.217216914411678,-0.0327626437342535,-0.184968503623528,0.0278934237539338,-0.144416416666973,-0.0536220038598037,-0.0106933771293005,0.224278554031888,0.0071701950323921,-0.0178232838951587,-0.195966979678429,-0.0278938979778932,0.174451301441205,0.264457722331053,0.173515362182778,0.248388924969414,0.109547976432233,0.0774810164641223,-0.207197875189279,0.267214286115782,-0.186361699740509,0.287756118034554,0.0955278611873151,-0.0107698448435315,0.0221164668401369,-0.17730667838048,0.272061579906452,0.231108268226937,0.0989339857050533,-0.222237138755123,0.0131655273236732,0.0457096567792257,0.230820807239391,-0.0842086149154655,0.111986181868819,0.286256599263243,0.270740051010527,0.0577191600701405,-0.163517304925924,0.123635502161185,-0.278684593599424,-0.0571136732128406,-0.043821830108781,0.0668766201021771,-0.0262975938090101,0.212169092925649,0.106182829313612,0.12275015917144,0.284607231957225,0.0263072952948359,0.304723863684025,0.0314734890602903,0.0749840008147008,-0.257866123573446,0.025488969250988,-0.048385767141671,0.296217095838232,-0.26206031616947,-0.183168996030355,0.00260319945225017,0.131871293813788,0.0832128199444239,0.0519916024263113,0.273758266135003,0.12221956461835,0.177991517042016,-0.145148065975311,-0.0213339825244169,-0.11554625202399,-0.0213583143524483,0.0146937234127789,0.276143349508728,0.0659210963385543,-0.103008565360607,0.00291619798836459,-0.168957478907202,0.0944525833594541,0.123255112662296,0.186897014705475,-0.011873796129193,0.139477289317004,0.218031157400192,0.176881060365843,0.00455792241780436,0.120788245498143,0.161440287489689,0.174688555731327,0.172949377205814,0.201223500632544,0.242705408090578,-0.0232599687347906,0.132027501030522,-0.219845731771419,0.252946745996095,-0.219422837244216,-0.229778002356474,-0.0885555854006729,-0.291394567267272,0.138159986697899,-0.0941083905580792,0.120968341165688,-0.048295950009162
BCL6,-0.0705830525137858,-0.0410438515185829,-0.044962135235467,0.193903672425857,0.217216914411678,1,0.00872263706929521,0.125427509860446,-0.0204060243790732,-0.22400940093674,-0.00374729222729668,0.144868719843936,0.154215975797971,-0.0274977138686828,0.0533199474011336,-0.161395221976211,-0.00747534518836367,0.141615235948352,0.021880421221831,0.116688381630576,0.230916945642163,0.124161787593714,0.151521928723808,-0.2043278337778,0.132898639736548,-0.0681437320478853,0.21142425831799,0.147152492837354,0.0687255719757737,0.270556700422856,-0.0241085978002399,0.229462086062438,0.111647566392598,0.143029387052201,-0.023692042603513,-0.00161539491604722,-0.0360946979503543,0.0954395601486075,-0.0826404697698323,0.262369905760644,0.233946467149646,0.155934198482755,0.146092436691113,-0.0105596551944925,0.00616552123002458,-0.122819825058091,0.0757261694893452,0.0407056681665889,0.0502210003124008,-0.0775688427424833,0.209064445403317,-0.0520920012959179,0.178065097937836,0.169882242134087,0.142001397031608,0.235563219662004,0.0661468738305023,0.0686574604223657,-0.114340209998559,0.029297394896007,0.109158840770453,0.294433952934594,-0.0677628862337889,0.05750302615235,-0.0664240787816267,-0.00943042926562686,0.0977432633032971,-0.000855456218640399,0.291720595543434,0.261548297119369,0.0810780558986298,-0.0305828536500793,0.128532751322992,-0.0338023592863529,-0.0321468640945974,0.0279012466950819,-0.00921870593024076,0.0851929713552598,-0.00689879294613311,0.0470213934266359,0.157510374120874,0.16914346194256,0.098810081213955,0.170809680977766,0.0968238915900559,0.104540047474892,0.246759240133658,0.121822125756213,0.101970982455672,0.196610900291705,0.0358623691338459,0.262062483243551,0.0625781457915738,0.0616913288618915,0.215997690230074,-0.084900494105243,0.177407331853947,-0.10051076754798,0.322473102144967,-0.217447463283913,0.114178169513745,0.0267013363722333,-0.119222531659312,0.19570940762869,0.0933937101846579,-0.00172470458515548,0.183335159397722
BRD1,0.115758052585608,0.129416719978544,0.0887790820873668,-0.181083484314596,-0.0327626437342535,0.00872263706929521,1,0.278715299091356,0.0921906134562171,0.0864508615708677,-0.00520319940630891,-0.143464240028424,0.168957021684216,0.324128700381955,-0.0327950645545716,0.0478912176406866,0.0666068895535416,0.0309573891928956,0.216117812458667,0.483995382274639,-0.0734633067007616,-0.000143403528567069,-0.0724235154173943,-0.0281701072026598,0.0548334080728547,0.174064864375276,-0.095537937433547,0.0584295570830085,0.11010546455122,0.0356962323330994,0.112625619184093,0.040163977791105,0.0103183444348669,0.0771217831062882,0.10931451870189,0.0265060783792604,-0.128620898705648,0.214391446113531,0.0841384260172943,0.0672929522270939,0.0660711588479632,0.141559205243207,0.0216736642253426,-0.080587378941595,0.181244375572715,0.209282448900037,0.284826996936856,0.0177433821605741,0.167400828522513,0.261406739001365,0.192108270663513,-0.00521862277253714,-0.13949253670952,0.0205825881600763,-0.138665390253884,-0.0795205978315507,0.240716275301778,0.0570317897336307,0.251329526008484,0.195122494442651,0.290175177115773,0.0515705658310681,0.121298228843125,0.120552350715526,0.129064981089299,0.161726138819024,0.189385459711896,-0.0365322095578049,0.137414332907495,-0.0692293191443073,0.207755792631911,0.0469351253495318,0.324713766632431,-0.0713602173389534,0.137719763293814,0.125812631063545,-0.0386884781706574,-0.0227293770158353,0.248385328402274,-0.0423047084115155,0.0404802984511128,0.139752309116517,0.0150170280989749,0.093984780994332,0.107772693691614,0.312286738288154,0.172590082790409,0.220344580790206,0.199276862185805,-0.129257120996552,-0.0805547848662624,0.0476989883606155,0.0473921678732472,0.348251568880198,-0.0769042580293577,0.110246333405728,0.153333279884955,0.338280336694807,0.00123014517708901,0.0419617497556195,0.219991001838649,0.248222230092996,0.230890882329757,-0.00132165605350231,-0.092843640793148,0.139941489433014,-0.0348104746473172
BRD4,0.172431198287795,0.168980607990106,0.164975478537128,-0.17748156564855,-0.184968503623528,0.125427509860446,0.278715299091356,1,-0.0079709816559285,0.103206465755416,-0.0070246147297217,0.285506059635732,-0.0944696327161333,0.115078038782506,0.253818045258362,0.386325530206575,0.0804171016367423,-0.0865657526057681,-0.083003820435494,0.240563297577934,-0.230422248047803,-0.188271661591583,-0.00719040578707018,0.0391848792303591,-0.158406427795153,0.362248482924496,-0.226198672870062,-0.112432346885496,0.235381807146269,0.178324856646282,0.0190190614405053,0.0533573972853976,-0.183783199731919,-0.074174979840439,-0.0883753178119994,-0.0759118878787892,-0.180481547470648,0.0618104649136748,0.166727381150508,-0.0866582734180413,0.0283791609108683,-0.168911072900236,-0.0285122865412471,0.283579161426197,0.0413628738123171,0.271441664800765,0.191261706567678,0.116598570320809,0.0510749803280046,0.232987990880951,0.0486030308327334,-0.169885017672098,-0.187111787934631,-0.179632686637975,0.00496567257437406,-0.159134851460622,0.0942181187550255,-0.016594162872205,0.375943401627791,0.0655624373992063,0.358395166671946,-0.072440301984007,0.432817868668921,0.189199310560822,0.154858319462202,0.0355541365435736,0.148490942355183,0.0796010633515475,0.0475457644419717,0.16615924896161,-0.00417687553718012,0.286960073137098,0.241437988953383,-0.0215558607394187,-0.0408885755428704,0.0680064620986903,-0.200845253239267,-0.0852564315508708,0.234233289191578,0.078866658414649,0.391439676730278,0.139797212446497,-0.123907420785318,0.0350430852653363,0.263001600862085,0.241585985351822,0.0375610194705637,0.0317393070098384,0.186789377463268,0.0705103932114361,0.0165091420164518,0.0192417792780609,-0.272898413062086,0.0433486406024951,-0.311220049815238,0.173553400885368,-0.0368871239564928,0.478644705695009,-0.105099457822782,0.312836015891457,0.253085738646335,0.186749519212218,0.430731573543679,0.154617665020582,0.0595507731258333,0.217202428405136,0.20152294379305
BRD7,-0.0773928358322778,0.0100663017944293,-0.00238219870119729,-0.200209896106883,0.0278934237539338,-0.0204060243790732,0.0921906134562171,-0.0079709816559285,1,0.146071316119321,-0.108812598473661,-0.13370241275312,0.0888042142459389,0.385406133210134,0.0154574358020087,0.089711957872316,0.156187672391062,-0.0875133482111098,-0.0078362597795875,8.33016284901873e-05,-0.137721082569534,-0.15625071721838,-0.18141110684662,-0.056725359515519,-0.108759137871775,0.128478517562885,-0.115227274740912,-0.0744711743479409,0.0414351369150626,-0.128279395299481,-0.149384303438614,-0.0303105822917251,0.0988251987410045,-0.0326315719224643,-0.0491970984901416,-0.0916117414610049,0.0957967685365793,0.0607625775231565,0.000284450525623245,0.132267072421259,0.129601680398387,0.0569507090815521,-0.120667292379196,-0.0591309088086642,0.141943228030879,0.204094541686555,0.0566215149588528,0.0463576238828112,-0.00664992433572774,0.0646402592934625,0.0740417484533286,0.296862034101714,0.0113174598686602,0.0813276558867501,-0.122316633202552,-0.075652422556441,-0.128481747697089,0.0168728385803369,-0.0259882326205277,0.0751938118128992,-0.0611379569308484,-0.0461431458416968,0.00885884612068439,-0.049083820311898,0.164125604918546,-0.02785171074405,0.10303063614628,0.0243021791211278,0.106934347141758,-0.195023449833603,-0.0829826496182078,-0.205727634809659,0.0935138151065716,-0.296578179188276,-0.111716513350343,0.00637952709626209,0.00306608573981297,-0.102158560882105,-0.0446889976002062,-0.246317506435265,-0.0981899637210947,-0.11872203476117,-0.0409180728485482,-0.0083893670910027,-0.114142534417624,0.0601692361135889,0.0770314694304398,0.0511552486465192,-0.0837171372830662,-0.130558991780959,-0.0355899989819692,-0.189663407402634,-0.0586737691288301,0.0997611944167755,-0.0460090859389636,0.152078045283699,0.163118010899491,0.15317202316201,0.070647485747889,-0.0503182495097168,0.0082302099116933,0.0612159828301363,0.127327844900903,-0.0721045319494457,-0.00165329250339575,0.148251404750651,0.0102713303408139
CDK8,0.0256373138567782,0.154370679169197,0.1490802712886,-0.335965747275858,-0.144416416666973,-0.22400940093674,0.0864508615708677,0.103206465755416,0.146071316119321,1,0.16891413043329,0.086829486504948,0.02581408745038,0.155967688929913,0.0315235226791366,0.251886286882742,0.156878409888636,-0.171333062991826,0.231595236303448,0.00802262539895164,-0.183988439229835,-0.254022106457816,-0.34654275953417,0.251409518931357,-0.172307842122168,0.3988623163638,-0.26303759217407,-0.0987807124953184,0.214878391343138,0.0254651211218921,0.150921915213778,0.00569861532188372,-0.048966587595385,-0.0754959458707472,-0.148093556212726,-0.208398350289592,0.0527867833038757,0.027508989324751,0.0755030265562954,-0.0751607527642227,0.0887957849609203,0.0256909489149265,-0.0863465381987494,-0.153689265770608,-0.1532069935478,0.283177335099621,0.120625218703059,0.0664249833353097,0.28856397997258,0.33219485695396,-0.0989369935593564,-0.052460121402477,-0.301326734516694,-0.153664768260064,-0.264066173808796,-0.231296973959347,0.0820971460940351,-0.176036107673685,0.182037202316362,0.108368720892166,0.0782647825325245,-0.143258752151344,0.0415464014655035,0.297536005797513,0.0797247749998205,0.00941531504250095,0.104352612703374,-0.0572107044612297,0.0663531336781313,-0.397965934454949,0.0648139485637857,-0.0554024504997967,0.257445822838613,-0.125271845020822,-0.127180394071777,0.0869384503237343,-0.211608342896024,-0.217285044608989,0.0329057526830085,-0.272855304230481,0.00101365946823447,0.0765611582528255,-0.141817441282873,0.0272818623206545,0.0515675060139743,-0.143894720243818,0.11767493064659,-0.0644800831319969,0.0325225015980938,-0.162148364432181,0.0263053803063697,-0.0840475854797489,-0.183404240223394,0.0727216657987102,-0.234603212062109,0.224238505706317,0.135484371906447,0.287523370081545,-0.151178531610108,0.149480757167389,0.0301828690076684,-0.00194721254890391,0.274953463681137,-0.135037760141582,-0.069979294745463,0.131233011444718,-0.000546610727392265
