GeneID	x
NCOA4	-0.523030048
SLC7A11	1.827122104
SAT2	-0.700656302
GSS	0.45137749
MAP1LC3C	-1.959734099
SLC3A2	0.435744209
ACSL1	-0.937889891
MAP1LC3A	-0.454836201
TF	-1.55197376
TP53	0.37018851
PRNP	-0.54200176
SLC40A1	-0.557786901
PCBP1	-0.141958587
ACSL6	-0.884185196
MAP1LC3B	-0.182010113
CP	-1.262563743
ATG5	-0.143972863
ACSL4	-0.423818837
GPX4	0.193568362
ACSL5	-0.392691355
TFRC	0.394154834
VDAC3	0.107160573
STEAP3	0.418891697
SLC39A14	-0.266099331
SLC39A8	-0.325650705
PCBP2	0.064669215
ACSL3	-0.083716042
ALOX15	-0.324912349
SAT1	0.139886723
LPCAT3	-0.145186218
CYBB	-0.165325251
GCLM	0.092377093
SLC11A2	0.064585703
FTMT	-0.185994972
ATG7	0.019169543
FTH1	-0.025313382
GCLC	-0.037968089
FTL	-0.00857468
VDAC2	0.004651652
HMOX1	-0.00404021
