	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0151745155654273	0.984940037236169	0.0317692350794274	-0.477648124907287	0.632900671991834	0.925481559439893	1.04821848372419
BRCA	-0.0689347321819174	0.933387598262146	0.0441466868395806	-1.56149276688444	0.118407529149292	0.856020762031993	1.0177468202074
CESC	0.0731893701364185	1.07593426744286	0.0563374041513794	1.29912570944443	0.193900791369471	0.963454599162357	1.20154551015094
CHOL	-0.0641877602530577	0.937828896007787	0.123488326193504	-0.519788082255458	0.603211286725971	0.736224314093928	1.19464003205275
COAD	-0.0720043602033481	0.930526838516124	0.0314166530050351	-2.29191697128934	0.0219104347486544	0.874957584542523	0.989625340126107
ESCA	0.0558561783061899	1.05744558918388	0.0526488876407663	1.06091848867364	0.28872694617067	0.953769028539677	1.17239199494296
GBM	0.0105168579124565	1.01057235444171	0.0781847698803914	0.134512871605881	0.892997033517806	0.866994648033263	1.17792709087483
HNSC	-0.0435113204621428	0.957421715573333	0.027200527844086	-1.59964985648627	0.109676281581509	0.907716317009534	1.00984891895664
KICH	0.230266345533781	1.25893527706741	0.237034478520707	0.971446630763741	0.331325917284982	0.791114399332749	2.003399297474
KIRC	-0.0624811888812594	0.939430734390357	0.0554194231402018	-1.12742402105472	0.259563247686003	0.842736231758444	1.04721984348024
KIRP	-0.0987190614425305	0.905997201820265	0.0978529358434368	-1.00885129906045	0.313045954438832	0.747884076112583	1.09753764777656
LIHC	-0.107883050402106	0.897732579755655	0.0390766844625847	-2.76080358110736	0.0057659342216767	0.831543268864474	0.969190437745091
LUAD	-0.0893526083792608	0.914523048225392	0.0506820688210575	-1.76300238837402	0.0779000868442116	0.828045116188853	1.01003241174206
LUSC	0.00862412383458746	1.00866141872537	0.0299851981218678	0.287612701424774	0.773643221198801	0.951090760051532	1.06971689806969
PAAD	-0.140272716761022	0.869121179162753	0.0410692483449841	-3.41551702097695	0.00063661050681211	0.801903530596919	0.941973186608834
PCPG	0.902211071891352	2.46504748719527	0.525009851792524	1.71846503224837	0.0857118272837156	0.880919237053789	6.89786175455795
PRAD	0.316243862029919	1.37196478495232	0.324603585044176	0.974246362642237	0.329934229656781	0.726172656247285	2.59206588812714
READ	-0.127870219713183	0.879967574178518	0.0956482204542141	-1.33688027969525	0.181261718852222	0.729542767483844	1.06140855083287
SARC	-0.119978778592689	0.886939258616711	0.0395397586770488	-3.03438317802207	0.00241028082734372	0.820800429285507	0.958407452540364
STAD	0.0671102962605418	1.06941342397163	0.0445069791017966	1.5078600618354	0.131590346171359	0.980079312137528	1.16689032939228
THCA	0.120472468321072	1.12802968398716	0.1425823548329	0.844932519611281	0.398148516489634	0.853010167401034	1.49171840686624
THYM	0.267384314141128	1.30654247260478	0.358552042271281	0.745733624740658	0.455828342876739	0.647028603976503	2.6382963940528
UCEC	0.00509689472553611	1.00510990598975	0.0454702190871226	0.11209303205182	0.910749642224378	0.919410020186658	1.09879803454134
