	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.110738641855685	1.11710290475536	0.132685632724665	0.834594067056814	0.403946303771864	0.861293095533741	1.44888993802921
BRCA	0.188643902175723	1.20761084831221	0.217255981989925	0.868302453391004	0.385228779449752	0.788857172515757	1.84865399183805
CESC	-0.11711900285121	0.88947933628779	0.181213654763874	-0.646303409110198	0.518082880503554	0.623571877585714	1.26877673307872
CHOL	-0.257207548734532	0.773207718827192	0.522372512356081	-0.492383390493571	0.622448338792146	0.277748608752691	2.15248666460929
COAD	-0.39146877667787	0.676063159102955	0.26296011873256	-1.48870018223565	0.136566337009879	0.403789676718186	1.13192937177357
ESCA	0.131731915858948	1.14080244722517	0.282608644936707	0.466128401303687	0.641123595017604	0.655622016844138	1.98503129876484
GBM	-0.207364038036163	0.812723733776473	0.209237118070031	-0.99104805088531	0.321662117732777	0.539311877111266	1.2247456350888
HNSC	-0.173361741292075	0.840833395664653	0.130590679755519	-1.32752001610397	0.184336723184687	0.650954995610765	1.0860978163346
KICH	1.84660188351965	6.33824479255351	1.15808964398685	1.59452413127754	0.110818690284854	0.654939699404058	61.3390012651336
KIRC	-0.16660781743329	0.846531541157001	0.194113864344655	-0.858299421299828	0.390727148914612	0.578646223880917	1.23843485120733
KIRP	-0.536962142462009	0.584521250239159	0.28992891888871	-1.85204754503335	0.0640189958769846	0.331140546627209	1.03178271420138
LIHC	0.292223740616503	1.33940266289418	0.204225058218245	1.43089072010066	0.152461537073921	0.897582699808034	1.99870105980396
LUAD	0.079656296167396	1.08291480173627	0.154778434632026	0.514647252744045	0.606799538930936	0.799551877570937	1.46670216244406
LUSC	-0.0234517718352838	0.97682108382097	0.126767269258766	-0.184998635471214	0.853230105837341	0.761922027991968	1.25233212158454
PAAD	0.64956965293325	1.91471665898919	0.279668984527949	2.32263743521525	0.0201986378967648	1.10675080021979	3.31252517141406
PCPG	-0.271988456601839	0.761863055527673	0.750754562495971	-0.362286784775016	0.717137732617322	0.174917584741317	3.31833598226478
PRAD	-0.474257004697383	0.622347285836603	0.930495189076584	-0.509682382310899	0.610273997608522	0.10046015848431	3.85542039781548
READ	-1.1035772558191	0.331682445975074	0.555480049399851	-1.98670907625112	0.0469546454377954	0.111659842819297	0.985253446452063
SARC	-0.0954422574310878	0.908970846450094	0.177460837670144	-0.537821519858323	0.590700273597515	0.641940853570653	1.28707807752146
STAD	0.11104013941696	1.1174397593347	0.224049848173026	0.495604618000933	0.620173394004872	0.720298554606399	1.7335473016801
THCA	-0.327894866699711	0.720438757828198	0.829306644968871	-0.395384347501544	0.692559258897638	0.14180448689321	3.66019450549481
THYM	0.974736198178061	2.65046792048319	0.575268233977416	1.69440295953544	0.0901887375341722	0.85832812557023	8.18449260630189
UCEC	-0.477944359870267	0.620056696057229	0.220893054929582	-2.16369120352213	0.0304880565653459	0.402167427010878	0.955995638888496
