	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.178264257699157	1.19514110474736	0.0979803720521013	1.81938743409103	0.0688523424532246	0.986320681258407	1.44817227033539
BRCA	-0.0538211116458045	0.947601606232354	0.134504818545688	-0.40014262855217	0.689051468102486	0.728006201889723	1.2334356517888
CESC	0.356379212988577	1.42814901824847	0.148777309558723	2.39538686406956	0.0166028371562499	1.06692538966434	1.91167033616638
CHOL	0.235255994064411	1.26523261931985	0.328491235593933	0.716171296439778	0.473885584412434	0.664596627911153	2.40869952353262
COAD	0.0282235859301844	1.02862564493413	0.130623683602966	0.216067907072433	0.828934815277445	0.796288175239163	1.32875352205045
ESCA	-0.0948068078726066	0.909548635131481	0.185080906947053	-0.512245209062697	0.608479406333424	0.632826668534546	1.30727537381649
GBM	0.0784970897880897	1.08166020729728	0.128419511154028	0.611255167401621	0.54103066626841	0.840968960964262	1.3912389854542
HNSC	0.310274953597425	1.36380004431397	0.0901362021841904	3.44229006857187	0.00057681137671423	1.14294840477354	1.62732679192051
KICH	1.4067585396671	4.08270002210723	0.740337254939445	1.90015905626979	0.0574122495723145	0.956690050247899	17.4230300254457
KIRC	0.251859301075139	1.28641502733992	0.128293317854593	1.96315213673557	0.0496284989763278	1.00040910228251	1.65418689093318
KIRP	0.501363621467064	1.65097103598356	0.187511000249169	2.67378244903414	0.0075001088274434	1.14321996803734	2.38423526343411
LIHC	0.213883215147695	1.23847801087592	0.117430621549197	1.82135811193072	0.0685524381756456	0.983855173887329	1.55899752741336
LUAD	0.0248391673241609	1.0251502296103	0.101580132431321	0.244527810012009	0.806822066288571	0.840083292950661	1.25098666059505
LUSC	0.0272109838186021	1.02758458361345	0.0849174004017463	0.320440612758589	0.748634342738772	0.870033064720714	1.21366660566973
PAAD	0.297249975277405	1.34615176205283	0.176739003597638	1.68185838567995	0.0925963038316122	0.952036307833498	1.90341959814715
PCPG	0.46459215195411	1.59136502140098	0.577020436348351	0.805157188009252	0.420728978143749	0.51358120513862	4.93094880809551
PRAD	0.0858112581136087	1.08960065561306	0.70603971372063	0.121538854608344	0.90326424126822	0.273077087343779	4.34759869552072
READ	-0.0557651377110972	0.945761233456249	0.240918680172232	-0.231468716627664	0.816950686081744	0.589808675166215	1.51653298496604
SARC	-0.130658133779482	0.877517716783311	0.114862751630393	-1.13751526865659	0.255322945352514	0.700623244947426	1.09907478637306
STAD	-0.00732961953567695	0.992697176617088	0.102344218900805	-0.0716173284079779	0.942906449411075	0.81227152639324	1.21319983828469
THCA	-0.194780928752556	0.823014937217268	0.311828249626524	-0.624641702558523	0.532206242895395	0.446662024628208	1.51647901441041
THYM	1.45195723297812	4.27146659430352	0.642011861665928	2.26157384259303	0.0237237456342141	1.21365577519829	15.0334446052217
UCEC	0.05779778789914	1.05950073017896	0.0965564932765362	0.598590378936071	0.549446073416048	0.876823587457799	1.28023676975248
