	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0246499443628177	0.975651384524737	0.0206300806836438	-1.19485448170646	0.232143889706249	0.93698860356581	1.01590950039573
BRCA	-0.0121797395071693	0.987894133298722	0.0182502417407048	-0.667374146612204	0.504533175594772	0.953181868144166	1.02387052379224
CESC	0.0268459737454102	1.0272095733348	0.0385838876128113	0.695781980675694	0.486565375565054	0.952393436091522	1.1079029606513
CHOL	0.0897582193005027	1.09390976546052	0.111112589673417	0.807813224084872	0.419198111260941	0.879837141874546	1.36006826492954
COAD	-0.0724792179974011	0.930085075489888	0.0535228977184044	-1.35417215971246	0.175681458863122	0.837459671501231	1.03295511066023
ESCA	-0.0135586651103964	0.986532839562133	0.0365901657475909	-0.370554897289284	0.710969080755488	0.918260580246114	1.05988111051623
GBM	0.0333242842373439	1.03388575773978	0.0359138981002008	0.927893823844135	0.353462648451456	0.963612859961793	1.10928341087057
HNSC	-0.0337125564346623	0.966849379331687	0.0345089272385131	-0.976922759773244	0.328607393139026	0.903617786114286	1.03450566896637
KICH	-1.92864084982826	0.145345610808628	998.411327543238	-0.00193170970382919	0.99845871960991	0	Inf
KIRC	0.0170048535685731	1.01715025912179	0.0313077245953611	0.543152010832903	0.587025144771413	0.956612233710102	1.08151935880956
KIRP	0.0506213443364511	1.05192450069135	0.0750714330067783	0.674309018876466	0.500114871359372	0.907995405310253	1.21866823189115
LIHC	-0.0478533181133197	0.953273604793765	0.0662441535534456	-0.722377984265612	0.470062118719396	0.837202356843447	1.08543718035236
LUAD	0.0608829240552828	1.06277448157685	0.0259838608433151	2.34310537692655	0.0191239809062307	1.01000521340107	1.11830076093125
LUSC	-0.00309213247449771	0.99691264324347	0.0233637287779729	-0.132347559068266	0.894709391494684	0.952291399206401	1.04362469207104
PAAD	0.0506643280882188	1.05196971732475	0.0497831458682241	1.01770041255181	0.308820351161666	0.954174371533636	1.15978831457149
PCPG	0.164585730263489	1.17890463302426	0.100308010455969	1.64080345642719	0.100838220559893	0.96849267675756	1.43503009069627
PRAD	-1.89580454017612	0.150197446542997	746.578694102713	-0.00253932312179713	0.997973915463649	0	Inf
READ	-0.0616316188943889	0.940229185669136	0.101282273528817	-0.608513382915456	0.542847032659127	0.770942699971899	1.14668823197401
SARC	0.0434936507104847	1.04445336275419	0.0453019456962132	0.960083502862006	0.337013190572763	0.955714040699273	1.14143224909656
STAD	-0.00182538020407112	0.998176284789138	0.0213983021064338	-0.0853049085386215	0.932018989310309	0.957178598477191	1.04092997597375
THCA	0.004077052383882	1.00408537486851	0.115760544619876	0.0352197063107283	0.971904548614784	0.800267328985458	1.25981331926042
THYM	-1.89077030212755	0.150955482709494	1351.44934861565	-0.00139906856595429	0.998883705155892	0	Inf
UCEC	0.0150245975910965	1.01513803425889	0.0263562270016485	0.570058741342484	0.568637857524804	0.964030198998344	1.06895533943826
