	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.182660465299042	1.20040675912928	0.0608769556780716	3.00048619817626	0.00269548969158775	1.06539308470369	1.35253026141429
BRCA	0.0242495632388918	1.0245459749999	0.112589921782285	0.215379519365712	0.829471436493277	0.82166490230117	1.2775213495778
CESC	-0.0243081391843217	0.975984924219925	0.123622821057976	-0.19663148742514	0.844115928223041	0.765976019302508	1.24357231597401
CHOL	0.510744837504692	1.66653202833637	0.228128447068876	2.23884764950199	0.0251658306987734	1.06568874323646	2.60613525205895
COAD	-0.357124470148524	0.699685402368384	0.170730997135786	-2.09173774030322	0.0364619824874076	0.500698539994457	0.977753324970405
ESCA	0.0544414576208	1.05595065674044	0.0966145382743187	0.563491360546834	0.573100341428684	0.87378619816273	1.2760922429481
GBM	0.23143656015705	1.26040936386913	0.145283328062499	1.59300150432601	0.111159853573884	0.948082713126674	1.67562570494493
HNSC	0.0676028723945568	1.06994032125953	0.0504162165373471	1.34089539115809	0.179954418814478	0.969270942012018	1.18106531562849
KICH	0.437048083164504	1.54813051428093	0.594227777682695	0.735489150084596	0.462041645399108	0.483058768070724	4.96152486543176
KIRC	-0.364760484398476	0.69436294172022	0.12183169896563	-2.99397026796269	0.00275372777468097	0.546868872477044	0.881637114671574
KIRP	0.469661858528134	1.59945326028697	0.127805344902874	3.67482172897429	0.000238015546880708	1.24504040784051	2.05475317566587
LIHC	0.260444726588166	1.29750699423186	0.0945962538795267	2.75322452958714	0.00590114089717341	1.07792670218427	1.56181714087719
LUAD	0.115059345472105	1.12194001765633	0.0670129072649629	1.7169728962388	0.0859841243277538	0.983848320872251	1.27941408905664
LUSC	-0.0640952191808255	0.93791568771523	0.0439271304397391	-1.45912602392168	0.144530424749216	0.860543758005348	1.0222441672244
PAAD	-0.0572936512017772	0.944316728905535	0.159055810672988	-0.360210991094005	0.71868935594203	0.691399612706839	1.289752074057
PCPG	0.184335391923715	1.20241903710913	0.736685104568811	0.25022277602804	0.802415072658529	0.283784287359256	5.09475543644924
PRAD	0.587747537598204	1.79992957223079	0.610952556973012	0.962018295676217	0.33604041369039	0.543515273700155	5.96072754852919
READ	-0.23903565077496	0.787386810922304	0.379626290735415	-0.629660422917229	0.528916781718015	0.374153361474058	1.65701568889254
SARC	0.159379013776575	1.17278236312797	0.130515529566751	1.22114980727302	0.222029304361174	0.908076435736352	1.51465054827538
STAD	-0.0338761857928742	0.96669118733104	0.140217998439361	-0.241596558001963	0.809092789410751	0.734402223000983	1.27245237336686
THCA	0.245913620381129	1.27878910745508	0.453390667205169	0.542387918783181	0.587551300525157	0.525862368005201	3.10975205841234
THYM	0.993014405990076	2.69935918510261	0.590188817597681	1.68253680242887	0.0924647947274031	0.848967460228966	8.58282602284032
UCEC	0.135806047697148	1.14545970750071	0.109291338610974	1.24260576751241	0.214013143547893	0.924593553364993	1.41908618844724
