	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0984654630636035	0.906226990377731	0.0994413451447788	-0.990186354782767	0.322083040802507	0.745748461866626	1.10123909076993
BRCA	-0.167663809440982	0.845638082440938	0.107570625231883	-1.55863935046914	0.119081763921924	0.684889093799746	1.04411615391189
CESC	-0.314383305116526	0.730239070136311	0.145430291840338	-2.16174567992805	0.0306377845359104	0.549129248762099	0.971081217683535
CHOL	0.00812271133453794	1.00815579005656	0.297972720744986	0.0272599159890533	0.978252427384717	0.562202547226399	1.80785039491341
COAD	0.20928364290773	1.23279462239508	0.127684907983822	1.63906327076843	0.101200083394085	0.959853914870129	1.58334779643197
ESCA	-0.123307798104003	0.883991529765173	0.191914639731197	-0.642513766936765	0.520539653465254	0.606862170709151	1.28767463587888
GBM	-0.000732167578305855	0.999268100390972	0.147898544699425	-0.0049504718237346	0.996050111096593	0.747808770163126	1.33528353276889
HNSC	-0.104905092673697	0.900409974034429	0.0932169517080492	-1.12538643188263	0.260425318084694	0.750056335876988	1.08090297029855
KICH	-1.15845912958742	0.313969594806939	0.668618807208669	-1.73261523172482	0.0831640801474978	0.0846755901170135	1.16417147287677
KIRC	0.0835169966388916	1.08710369224475	0.0947974063695807	0.881005080595656	0.378315070118299	0.902774476729133	1.30906939457788
KIRP	-0.135166094836416	0.873570804037758	0.213414752045011	-0.633349351632018	0.526505531948021	0.574962002708625	1.32726327317652
LIHC	0.015123823863853	1.01523876761998	0.115437447817812	0.131013151708984	0.89576490352302	0.809669275677415	1.27300094772176
LUAD	-0.0545857422702575	0.946877317966231	0.0950075085288584	-0.57454135063101	0.565601527005314	0.786001139154735	1.14068111433414
LUSC	0.105833418167186	1.11163668260598	0.113810491126025	0.929909159692438	0.352418120054214	0.889379682247418	1.38943596169476
PAAD	-0.284469246891552	0.752413494161981	0.168294999267119	-1.69030124561242	0.0909703369316657	0.54100790726096	1.04642845067321
PCPG	-1.35618793064836	0.257641052887968	0.906516505419265	-1.49604328497154	0.134642375824364	0.0435899947722781	1.52280156214737
PRAD	-0.402458988501393	0.668673761676877	0.451156954991836	-0.89205981210835	0.372360874031639	0.276177812736189	1.61897364283281
READ	0.1704976245609	1.18589483490952	0.276388689293691	0.616876273036373	0.537316337985812	0.689896113970585	2.0384903335244
SARC	-0.0648031320714815	0.937251960067945	0.116896856688207	-0.554361630478464	0.579331379692657	0.745338530030814	1.17858020383689
STAD	0.134344202182799	1.14378644568855	0.112568812375084	1.19344069949996	0.232696823491401	0.917331271851163	1.42614502904804
THCA	-0.970257081414378	0.378985595425684	0.441671572005288	-2.19678408779898	0.0280358700296669	0.159467130631445	0.900687690130406
THYM	0.189985480399702	1.2092320399639	0.400396226131657	0.474493684006981	0.635147900860642	0.551685742236823	2.65049830823352
UCEC	-0.383348530260541	0.681575308264798	0.117522780872862	-3.26190826504739	0.0011066494936584	0.541350168409078	0.858122760359455
