	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.02043466488351	1.02064488211248	0.133924377267698	0.152583609499738	0.878726651356639	0.785015127085227	1.32700114869162
BRCA	-0.059488495023714	0.942246374051059	0.137112918821414	-0.433864989054722	0.6643864849973	0.720201044318493	1.23275054433238
CESC	-0.132980265987951	0.875482368717915	0.226705665176484	-0.586576722220106	0.557488020074395	0.561403598714262	1.36527336071823
CHOL	0.305186008970577	1.35687737089711	0.474244577179353	0.643520292389468	0.519886551866099	0.535627521442257	3.4373069454967
COAD	-0.052821827076111	0.948549003176416	0.145998088391487	-0.361798073235534	0.717502932086464	0.712501813104058	1.26279708329047
ESCA	-0.0618137361717628	0.940057969280938	0.251020110493242	-0.246250135299128	0.805488607784393	0.574759197915709	1.53752908837868
GBM	0.220547086355269	1.24675862867586	0.214590204101809	1.02775933914781	0.304063047260397	0.818696379291176	1.8986368054095
HNSC	0.0591390711287233	1.0609227742088	0.123749424383255	0.47789370676641	0.632725860806335	0.832430666757441	1.35213318992591
KICH	-1.91143698341962	0.147867750349124	1.07602526550564	-1.7763867119992	0.0756691997592779	0.0179456461055064	1.21839422580623
KIRC	0.249996443448212	1.28402084999297	0.126283546716	1.97964382494285	0.0477435648653587	1.00248833081381	1.64461719158193
KIRP	-0.672128246805961	0.510620693693833	0.188441896858005	-3.56676651006344	0.00036141323042773	0.352936340151524	0.738755019436174
LIHC	0.127786352568466	1.13631020700449	0.148779697905974	0.858896437934865	0.390397654824297	0.848897782913977	1.52103222853327
LUAD	0.292002643693	1.33910655782125	0.130468886596111	2.23810175215909	0.0252144204305317	1.03695478323775	1.72930044992013
LUSC	-0.0122368623661676	0.98783770357317	0.127130908661648	-0.0962540305500007	0.923318819805463	0.769966043340319	1.26735891412474
PAAD	0.288381537637713	1.334266279825	0.241278074725864	1.19522479597605	0.231999213121251	0.831507634256903	2.14101041545942
PCPG	-0.176778353242222	0.837965496276409	1.26408824170969	-0.139846529228947	0.888781249480931	0.0703448445995681	9.98205592672644
PRAD	0.109879959698419	1.11614408014492	0.531275671045926	0.206822871226339	0.836148193664514	0.394001240420434	3.16186214620341
READ	0.162425359726155	1.17636051130105	0.341949814535647	0.474997654105242	0.634788645354547	0.601827775818672	2.29936886955084
SARC	0.53110548106748	1.70081148462603	0.175034712492758	3.03428659094952	0.00241105269626279	1.20688631370565	2.3968783748602
STAD	-0.196592417084266	0.821525404804293	0.128251496828714	-1.53286645337812	0.125308762954928	0.638929773141049	1.05630386798373
THCA	-2.22227378787091	0.108362435298555	0.757496043634673	-2.93371009201293	0.0033493689135057	0.0245525698545619	0.478256143995935
THYM	0.0320598978653082	1.03257935275183	0.774114921814156	0.041414907479338	0.966965128543638	0.226462147147815	4.70816042838913
UCEC	-0.20794033843285	0.812255495702155	0.202318655806103	-1.02778627904752	0.304050371917248	0.546359761040808	1.20755413803081
