	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0120565649963637	1.01212953835056	0.0501450373147627	0.240433862291977	0.80999392965952	0.917386968127477	1.11665658875958
BRCA	0.0368616321349758	1.03754944740352	0.0818911064649608	0.450129858127487	0.652616808599368	0.883696158801011	1.21818890473388
CESC	-0.104248851123718	0.90100105439594	0.125083718446267	-0.833432619517949	0.404600784334146	0.705105082327215	1.15132186729278
CHOL	-0.129631391214328	0.878419164272871	0.175871701452783	-0.737079303512228	0.461074124376248	0.622299623785788	1.23994969411626
COAD	-0.000879826139360646	0.999120560794171	0.107097642516445	-0.00821517746504596	0.993445310464861	0.809946285023208	1.23247913282676
ESCA	0.0357468989993605	1.0363935010602	0.108144575158273	0.33054731545289	0.740986447187021	0.838439734378509	1.28108371418729
GBM	0.0931163403837651	1.09758942181494	0.0827946043538848	1.12466677159012	0.260730267377746	0.933179130681198	1.29096600992421
HNSC	0.0138947930924996	1.0139917743878	0.0671713957989237	0.206855804129684	0.836122473130773	0.888910499988668	1.15667361172945
KICH	0.261265588568464	1.29857250565168	0.198928041038674	1.31336732219502	0.189059203251355	0.879302580938108	1.91775912978148
KIRC	-0.0566340689690596	0.944939788899041	0.0612902226301696	-0.924031053220257	0.355470148205101	0.837980290950624	1.06555155805828
KIRP	-0.038152911195543	0.962565742558867	0.0820306404232987	-0.465105611740496	0.641855827493855	0.819607253953887	1.13045950274134
LIHC	0.136789308592505	1.14658654713619	0.0675918688564689	2.02375390570983	0.0429954790869805	1.00432098865208	1.30900451641276
LUAD	0.0681408930624278	1.07051612614933	0.0702597041435152	0.969843153954086	0.332124678817924	0.932798942916759	1.22856568936747
LUSC	-0.0200110975911524	0.98018779552299	0.052296744720079	-0.382645185627954	0.701982862141509	0.88469632031175	1.08598633501003
PAAD	0.141195504452993	1.15164977863702	0.104654639941845	1.34915665976638	0.177286652318834	0.938076458865566	1.41384766678678
PCPG	-0.17693870169804	0.837831140575204	0.268950575867665	-0.657885565506659	0.510611666548682	0.494567248610513	1.41934392560306
PRAD	-0.224660834395434	0.798787093928642	0.359862264711133	-0.624296728015572	0.532432732346346	0.394562425123889	1.61713528911583
READ	-0.213986652874575	0.807359160874751	0.247779471480681	-0.863617359403641	0.387798124740283	0.496771313250268	1.31213054631437
SARC	-0.0839099580104852	0.919514047241929	0.0647564301907155	-1.29577800634408	0.195051977436687	0.80991155474392	1.04394866096529
STAD	0.0647930821189221	1.06693823294373	0.0826071882375808	0.784351622434784	0.432833816630849	0.9074525218877	1.25445372122506
THCA	0.0256772407248452	1.02600974086589	0.214634420382398	0.119632446087156	0.904774316036717	0.673681054440123	1.56260292821587
THYM	0.91991925563614	2.50908778705965	0.308891869482523	2.97812712641887	0.00290015667730307	1.36957752494953	4.59668869303611
UCEC	0.0489107721186119	1.05012664598374	0.0952578828156452	0.513456426627391	0.607632083301047	0.871280554806115	1.26568413184713
