	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0382647647976411	0.96245808213452	0.0526877873059752	-0.726254920811633	0.467682509026347	0.868028326756261	1.06716051920523
BRCA	-0.160432169874244	0.851775597658422	0.0791350041229537	-2.02732244285952	0.0426294477774991	0.729399323653875	0.99468376955974
CESC	0.0256903519848737	1.02602319323458	0.0851968097809772	0.301541243749832	0.763001804660083	0.86823546611537	1.2124862829727
CHOL	-0.195636834270252	0.822310815565147	0.213574916824241	-0.916010349807367	0.359661466509207	0.541054114007036	1.24977346976909
COAD	0.0788198648382375	1.08200939657669	0.109880581283609	0.717322969331573	0.47317483761326	0.872369577828365	1.34202792490157
ESCA	0.15524503332252	1.16794411127163	0.126032607346413	1.23178466740606	0.218029532285805	0.912311000284663	1.49520661992287
GBM	0.325552686085887	1.3847957918845	0.112586169301325	2.89158684504646	0.00383301639948481	1.11058605014375	1.72670941164153
HNSC	-0.125626013819609	0.88194462021405	0.0556013987510729	-2.25940383949756	0.0238582757961874	0.790884964022716	0.983488558396925
KICH	-0.702739626736488	0.495226707289597	0.368010600771151	-1.90956354318035	0.0561894328889957	0.240742555674174	1.0187209773781
KIRC	0.0767492073970045	1.07977124379174	0.0859375959395839	0.893080689049772	0.371813963571822	0.912392156139465	1.27785616203977
KIRP	-0.300605744455077	0.740369610037742	0.0917848741345549	-3.275112019159	0.00105620083386181	0.61847358756183	0.886290329112298
LIHC	-0.160253039023883	0.851928190612192	0.0638340747218007	-2.51046231534321	0.0120573190718436	0.751739423439373	0.965469708425232
LUAD	-0.0879434068874213	0.915812703948235	0.0714247664027337	-1.23127328679727	0.218220669388654	0.796177302074759	1.05342479184897
LUSC	0.0746962693878814	1.07755681418529	0.0637000055973332	1.17262579002047	0.240945902534021	0.951083472019027	1.22084835028437
PAAD	-0.418877280938273	0.657784913062259	0.132970143077959	-3.15016041377567	0.00163180837703371	0.506873419425429	0.85362730668101
PCPG	-0.814384594587624	0.442911813835365	0.28315804132372	-2.87607793435957	0.00402650282651818	0.254268582931474	0.771510473583763
PRAD	0.347654114286273	1.41574247994459	0.313298193626893	1.10965885331689	0.267146059994154	0.766133332062527	2.61615920576612
READ	0.0862391354916538	1.09006697084045	0.218228840926775	0.39517753531299	0.692711870510242	0.71071659222185	1.67189849501413
SARC	-0.139427925288318	0.869855715545008	0.0822001935713	-1.6961994763112	0.0898481096154322	0.740420253232287	1.02191824516305
STAD	0.0167050058898951	1.01684531469845	0.0774739489709924	0.215620942417041	0.829283230087328	0.873592600777497	1.18358877250558
THCA	0.150274156086777	1.16215281032438	0.280161963733076	0.536383148106254	0.591693775674457	0.671102630146635	2.01250761638313
THYM	0.723329444100986	2.06128473072529	0.255065172146366	2.83586127425469	0.00457022927842106	1.25033422176045	3.39820718906571
UCEC	-0.115483909306869	0.890934907881945	0.0966265677590746	-1.19515690130703	0.232025733821892	0.737220310967002	1.07669986607048
