	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.094300673116428	1.09889010296181	0.0542069738091857	1.73964098140539	0.0819220784946935	0.988127991807823	1.22206785800911
BRCA	-0.0548296450980242	0.94664640007274	0.077599561803871	-0.706571581378299	0.47983275458745	0.813083074945643	1.10214987174661
CESC	0.102373885693275	1.10779758397548	0.091823442789388	1.11489923034237	0.264893606570982	0.925337488934301	1.32623556457793
CHOL	0.120523519347271	1.12808727253007	0.365413704603673	0.329827583992752	0.741530243592709	0.551190838112094	2.30878455600443
COAD	0.199359408900153	1.22062058897602	0.117383355725868	1.69836181345614	0.0894394947155991	0.969758952729743	1.53637624900317
ESCA	0.032493602668201	1.03302728450454	0.0993037687593173	0.327214194125459	0.743505885939927	0.850323675199531	1.25498724974394
GBM	0.358736316814853	1.43151928423689	0.172634084090554	2.07801558252356	0.0377079239514762	1.02058881412769	2.0079070363843
HNSC	0.120288086200373	1.12782171465532	0.0749637360064316	1.60461701361913	0.108578114876926	0.973713529147828	1.30632037244185
KICH	0.285158114085385	1.32997229885127	0.546688989166496	0.521609397182389	0.601942319089305	0.455512274458546	3.88315840185491
KIRC	0.159588941954413	1.17302858903644	0.141923558786667	1.12447111190539	0.26081321902237	0.88818420288079	1.54922376037969
KIRP	0.500717291265135	1.64990430830679	0.295947343806854	1.69191344927874	0.0906624772569935	0.923736109493833	2.94692845563973
LIHC	0.102900806281301	1.10838145914426	0.0721241292604622	1.42671817790264	0.153661143849401	0.962270301122602	1.27667814079012
LUAD	0.0873549161374553	1.09128392526999	0.0881153974431832	0.991369484473832	0.321505195211032	0.918192615711402	1.29700520911942
LUSC	0.0885327852145072	1.09257007216748	0.0708383370456709	1.24978632908094	0.211377611353541	0.950936677221777	1.25529847695385
PAAD	0.0970783956760396	1.10194675809594	0.158459171328085	0.612639804073199	0.540114533051001	0.807755493631811	1.50328492625722
PCPG	-0.189525319778042	0.827351768269115	0.584819647812803	-0.324074816034067	0.745881392797999	0.262960679143367	2.60309241171694
PRAD	-0.36673863222542	0.692990746825578	0.610288184682101	-0.600926974223586	0.547888626121832	0.209531436833529	2.2919528565416
READ	0.1224052178298	1.13021199105183	0.208788195215708	0.586265031427364	0.557697426203909	0.750652744331661	1.70169116727156
SARC	-0.115828805568096	0.89062768074701	0.101283794733689	-1.14360649571485	0.252786866578655	0.730269674843552	1.08619828131674
STAD	0.13784478880629	1.14779738544562	0.082999244297577	1.66079570932086	0.0967544832017149	0.975475006213293	1.35056134667148
THCA	-0.417461691391203	0.658716725886052	0.408900205310033	-1.02093783757012	0.307283890973657	0.295557650304913	1.46809843871203
THYM	1.45939193617768	4.30334202602054	0.614658142850737	2.37431481735382	0.0175815528968974	1.29005404569809	14.35502074868
UCEC	0.259664290404833	1.29649476786585	0.0907878661132009	2.86012108799941	0.00423479278897484	1.08515555197242	1.54899330335478
