	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0256682255831278	0.974658402695482	0.0726629695404839	-0.353250434787513	0.723900700447787	0.845281958240403	1.12383683655382
BRCA	-0.0385604193946078	0.962173569039024	0.103713651340674	-0.371796951473113	0.710044033617385	0.785185376455448	1.1790565702287
CESC	0.0249963331626355	1.02531136086753	0.142094237199302	0.175913771419001	0.860361686042133	0.776077219442601	1.35458606487518
CHOL	-0.300037118283498	0.740790723291313	0.315387499598081	-0.951328504350536	0.341437641487702	0.399242906674955	1.37452885584076
COAD	-0.140052170852906	0.869312881421272	0.151322038059253	-0.925523953081218	0.354693429978655	0.646205369993099	1.16945002455338
ESCA	0.194883662531549	1.21516960851012	0.13581578149758	1.43491176343907	0.151312243145597	0.931172831955706	1.58578206619851
GBM	0.0433177951777163	1.04426970600063	0.100720747486728	0.430078174146039	0.667138776146511	0.857193805029835	1.27217347170712
HNSC	-0.0859336201712022	0.917655142989759	0.0827346812652851	-1.03866502967069	0.298960550441326	0.780289233600888	1.07920361475381
KICH	-0.440701072274478	0.643585063240288	0.489767391566687	-0.89981709657057	0.368217594514244	0.246442267822402	1.68072521522363
KIRC	0.361050940722752	1.43483655062784	0.104658722589137	3.44979311605151	0.000561016314450028	1.16873692428434	1.76152210496664
KIRP	-0.283030807321972	0.753496574290577	0.163128438234488	-1.73501818803127	0.0827375837198451	0.547300826268426	1.03737663131021
LIHC	-0.357470309394309	0.69944346553458	0.113630014581778	-3.14591449019875	0.00165568405026156	0.55979700864024	0.873926001618608
LUAD	-0.146989439568789	0.863303094221122	0.0920821491588681	-1.5962859350208	0.11042496884466	0.720746977847105	1.03405530012485
LUSC	-0.0467319887384357	0.95434313802657	0.0754570967395228	-0.61931866925326	0.535706447967031	0.823143130152324	1.10645499152725
PAAD	0.376381306867599	1.45700259295896	0.140441756018942	2.67998149223393	0.00736262308590647	1.10640998173855	1.91868890458978
PCPG	-0.517145034148785	0.596220309057886	0.477031193240659	-1.08409060345848	0.278324628700551	0.23407610243839	1.51864565938185
PRAD	-0.43223583527465	0.649056288266025	0.397365033269334	-1.08775508433245	0.276703242897932	0.297882254644853	1.41423014888863
READ	0.199460069628135	1.22074346371732	0.268591062658908	0.742616182584733	0.457714088251121	0.72110628463509	2.06656721202018
SARC	-0.129477531238385	0.878554328222248	0.0847531424436512	-1.52770183506139	0.126586584307385	0.744091968655344	1.03731492900384
STAD	-0.0861770829193601	0.917431755341175	0.0938311733301453	-0.918426998841267	0.358395361274151	0.763316286632677	1.102663522904
THCA	-0.67840812477292	0.507424105646733	0.346769630788759	-1.95636544996694	0.0504221191521668	0.257158124708044	1.00124864140967
THYM	0.45010075876729	1.56847021465398	0.427857433981536	1.05198770202206	0.292805191965506	0.678083798308278	3.62801591837809
UCEC	-0.283702193645131	0.752990856780956	0.0857448162322164	-3.30868040905005	0.00093736770817766	0.636507584364937	0.890791004417374
