	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.207971400308929	1.2311779577361	0.0885875414369255	2.3476371161853	0.0188929178962837	1.03493954006361	1.46462581139965
BRCA	0.0975259736285691	1.1024400755605	0.133192344328577	0.732219063491958	0.464034870503192	0.849144230520415	1.43129291411069
CESC	0.227776357647609	1.25580444296514	0.131786908974504	1.72836861733873	0.083922158179615	0.969939832677289	1.62592023323542
CHOL	0.137339608473453	1.14721768721881	0.355819951680807	0.38598062819326	0.699511015694241	0.571177829962021	2.30420081597912
COAD	0.123195736347302	1.13110579779831	0.173778041294126	0.708925796549798	0.478370525797513	0.804605675325133	1.59009607444784
ESCA	-0.0343776899588514	0.966206509217585	0.147405847753819	-0.233217952223071	0.815592166309693	0.723765493791856	1.28985842301416
GBM	0.0740559151371122	1.07686701697974	0.208152506870272	0.355777195531287	0.722007428472399	0.716114290167927	1.6193540447111
HNSC	0.171574706959608	1.18717282949211	0.0829727591812533	2.06784381588184	0.0386547120212614	1.0089912680458	1.39682014276889
KICH	-0.219416962088355	0.802986833274406	0.545116513634644	-0.402513878409883	0.687305876632427	0.275869956558649	2.33728914324521
KIRC	0.084268280932437	1.08792072304696	0.124375020671668	0.677533804435641	0.49806732948212	0.852568023402312	1.38824289340784
KIRP	0.359480053982196	1.43258435435137	0.215433070747492	1.66863914038314	0.0951889170615179	0.939167902586917	2.18523006022599
LIHC	0.080597634888949	1.08393467131734	0.115218179424087	0.699521857503847	0.484225958161908	0.864826952353559	1.35855429630909
LUAD	0.299964564110858	1.34981097497644	0.109468510558834	2.74019042169795	0.00614035976028655	1.08916377833792	1.67283351173066
LUSC	-0.0128397794068077	0.987242298896148	0.0852774357249664	-0.150564792405555	0.880319036297452	0.835286514272728	1.1668419638959
PAAD	-0.381497307860337	0.682838224351487	0.206467835129276	-1.84773239677488	0.0646410648875853	0.455587798616517	1.02344277448037
PCPG	0.251622437118113	1.28611035807017	0.693041126454934	0.363069993270414	0.716552599275252	0.330643934057489	5.00260153826923
PRAD	0.107152846379166	1.11310437545123	0.591660276580157	0.181105358295335	0.856284878835355	0.349070983340284	3.54942521659229
READ	0.0714825476396944	1.07409940496792	0.382244954996539	0.187007170939226	0.851655010536851	0.507781624211272	2.27201906635443
SARC	0.0800994889404063	1.08339484811887	0.136674635663292	0.586059648534474	0.5578354314237	0.828798784082616	1.4161994677993
STAD	-0.204340848838349	0.81518446914934	0.124309547732177	-1.64380655039143	0.100216167881806	0.638915490986561	1.04008390486226
THCA	-0.679948452509026	0.506643107873519	0.552016284562993	-1.23175433682597	0.218040865492269	0.171721639331718	1.4947867942251
THYM	1.48394781333562	4.41032248808763	0.819110577271335	1.81165749107896	0.0700391357343705	0.8856092812391	21.963347563066
UCEC	0.335436292643632	1.39855042939799	0.172569045459479	1.94378019389575	0.051921963169807	0.997211074993949	1.96141353883497
