	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0844394330898382	0.919027316336113	0.0649554985738167	-1.29995820128883	0.193615295533012	0.809167068492787	1.04380324046701
BRCA	-0.00612101390932322	0.993897681332256	0.0775881801345679	-0.0788910617404225	0.937119272781243	0.853686667330645	1.15713720122448
CESC	0.0537097755576308	1.05517831917254	0.138773628814445	0.387031570886182	0.698732835609431	0.803899080922243	1.38500131630265
CHOL	0.104269671865767	1.10989972329083	0.165562754076945	0.62978942605236	0.528832364733972	0.802336355376361	1.53536280327621
COAD	0.072551002466519	1.0752476449737	0.175247537946991	0.41399156482566	0.678880284389435	0.762671513323225	1.51593114181451
ESCA	-0.127545079930032	0.88025373316308	0.153492275685371	-0.830954387512466	0.405999397234431	0.651560898706633	1.1892159831654
GBM	0.235390126096929	1.26540233892485	0.0758954449536253	3.10150531748987	0.00192539414266344	1.09050161474559	1.46835461562344
HNSC	0.0600191506149158	1.06185688156288	0.0818106420382741	0.73363500297231	0.463171221772749	0.904541800456645	1.24653170959398
KICH	0.127887899525578	1.13642560170724	0.175357749024924	0.729297109689752	0.465819939902952	0.805890845574704	1.60252862444998
KIRC	0.256351789215836	1.29220723255914	0.0411274964290843	6.23309978660775	4.57294667654965e-10	1.19213209140478	1.40068331682147
KIRP	0.386503773942409	1.47182595164228	0.121650675404553	3.17716093771843	0.00148724480037443	1.15959734844909	1.86812399564815
LIHC	-0.102807282242171	0.902300846122757	0.0538777205529093	-1.90815946159437	0.056370609342831	0.811877612181396	1.00279500838353
LUAD	-0.0502814565481961	0.950961732423963	0.0625882890051748	-0.803368447155326	0.421761806689306	0.841177781090071	1.07507382727451
LUSC	0.0930563830418516	1.09752361524351	0.0746705291839016	1.24622637684365	0.212681298011326	0.948100125332269	1.27049670581473
PAAD	0.327791865325513	1.38790007209566	0.101493596309473	3.22968026796504	0.00123928726132289	1.13754004076674	1.6933615882433
PCPG	0.504606960331673	1.65633438739041	0.506426918618862	0.996406276561773	0.319052784599485	0.613870330675689	4.46909300834307
PRAD	-0.386731539668066	0.679273428420954	0.349625267387314	-1.10613155209874	0.268669583771351	0.342328501636868	1.34786437107188
READ	-0.225959615410925	0.797750317833921	0.295820111022357	-0.763841290674953	0.44496182729192	0.446749886536779	1.42452318127613
SARC	0.075769955315461	1.07871439309974	0.055538161722632	1.36428633871374	0.17247746381204	0.96745841063254	1.2027646140569
STAD	-0.00158207944682365	0.998419171381141	0.0957214406754794	-0.0165279527309593	0.986813202077033	0.827627044251235	1.20445658307754
THCA	0.255603779065135	1.29124100984963	0.31391105731286	0.81425541761145	0.415498644048629	0.697920145412983	2.38896005005113
THYM	0.209833747109714	1.23347297446209	0.257420239463784	0.815140827880533	0.414991703751639	0.74475449551654	2.04289546137365
UCEC	-0.0635950753072711	0.938384897826852	0.0839819205852584	-0.757247213020204	0.448901769381878	0.795967745245691	1.10628379319279
