	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0139332484109692	1.01403076851417	0.0271391592138656	0.513400149988825	0.607671440694516	0.961502103508924	1.06942917310414
BRCA	-0.0709800346589411	0.9314804892676	0.0333364756731864	-2.12920031963765	0.0332376904790985	0.872564827898104	0.994374141777269
CESC	-0.0887340064562992	0.915088948957211	0.0510923745397281	-1.73673678813463	0.0824336411060032	0.827891459757633	1.01147049487473
CHOL	0.0511095894026704	1.05243822303984	0.0678058147566951	0.753764106899458	0.45099088011397	0.921467873761295	1.20202368943595
COAD	-0.00700013322485787	0.993024310637704	0.0351719864912893	-0.199025813528943	0.842242552233213	0.926875561758185	1.06389392730019
ESCA	-0.00023971177392273	0.999760316954649	0.0412504982517718	-0.00581112432775121	0.995363419713571	0.922111432953931	1.08394783497625
GBM	0.053136258766591	1.05457333019121	0.0487235026933727	1.09056729974831	0.2754633249151	0.958524600010544	1.16024660059674
HNSC	-0.0320976396842662	0.968412022018796	0.0220623196882774	-1.45486241418761	0.145707355013158	0.927429042297411	1.01120603476831
KICH	0.343251624559533	1.40952338800992	0.261612146960395	1.3120630236313	0.189498870774563	0.844087799965985	2.35373166325474
KIRC	0.112014895548715	1.11852952163194	0.0228011995177281	4.91267555733737	8.98418765492101e-07	1.06964344684077	1.16964984402734
KIRP	0.0756729889142145	1.0786097991182	0.0818387249881256	0.924659920168531	0.355142833843054	0.918762186244752	1.26626793763571
LIHC	-0.0574707119994302	0.944149542233817	0.0383280756893417	-1.49944162251307	0.133759102538819	0.875822039493168	1.01780763431825
LUAD	-0.021473461035208	0.978755452280962	0.0256190079958364	-0.838184719669781	0.401926967559624	0.930823320115344	1.02915581793869
LUSC	0.000816351085189854	1.00081668439043	0.0316519676888451	0.0257914797972436	0.979423657726762	0.940615937516961	1.0648703639855
PAAD	-0.0453419559266033	0.955670628716234	0.0444120100790201	-1.02093906233761	0.307283310666647	0.876001131690443	1.04258581130877
PCPG	-0.501989249780481	0.605325317991296	0.335277478746918	-1.49723522038116	0.134332063945055	0.313761846038203	1.1678244032152
PRAD	-0.239688735726519	0.786872748326579	0.19355933962277	-1.23832172704066	0.215596790690256	0.538451382175324	1.1499064586994
READ	0.015715971404969	1.01584011678602	0.0792525707450415	0.198302354828689	0.842808509388752	0.869691947875377	1.18654788674633
SARC	0.00511546834606653	1.0051285746931	0.0506948817445824	0.100906998300932	0.91962428762659	0.91006006689399	1.11012831835668
STAD	0.0742759140445802	1.0771039526088	0.0264027395751997	2.8131896628768	0.00490527092528076	1.02278315559345	1.13430976877239
THCA	0.363926171790448	1.43896797380722	0.148756269244237	2.44645939051437	0.0144267048554354	1.07505222478742	1.92607278223371
THYM	0.576663111102608	1.78008855150409	0.174057737504134	3.31305645684904	0.000922823498227406	1.26556190137215	2.50380107662875
UCEC	0.0732856091135539	1.076037819239	0.0446649128846722	1.64078701558833	0.100841634518699	0.985845124251161	1.17448203571745
