	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.354910790059866	1.42605343046559	0.123204552606471	2.88066295077171	0.0039683975899291	1.12011829942956	1.81554786452318
BRCA	0.317361480386515	1.37349897514045	0.150919333918729	2.10285502954457	0.0354784439203847	1.02179922692733	1.84625255627252
CESC	0.0422064780870068	1.04310983584018	0.196635267386024	0.214643480023089	0.830045291765348	0.709502283388969	1.53357946140677
CHOL	0.231215796322005	1.26013114177605	0.36751214704407	0.629137834440827	0.529258822956864	0.61318120952147	2.58965941848259
COAD	-0.0384445022111185	0.962285107953689	0.218435897307659	-0.175999012456139	0.860294718283071	0.627149083512906	1.47651117307323
ESCA	0.184563884521866	1.20269381234984	0.181217299610579	1.01846724853797	0.308455957691574	0.843145703972383	1.71556635994195
GBM	-0.338602280355591	0.712765873713525	0.204156070774148	-1.65854622432549	0.0972072656376635	0.477715063211508	1.06346906315925
HNSC	0.333544769941107	1.39590753984095	0.138267227764364	2.41231979069933	0.0158513713926273	1.06454340899086	1.83041653663701
KICH	-1.30520732482721	0.271116320074207	0.823156108562155	-1.58561336209614	0.112827043237606	0.0540112105458617	1.36090375067907
KIRC	-0.230755063545367	0.79393390557765	0.175725115583729	-1.31315926456408	0.189129287181296	0.562609238900519	1.12037094815152
KIRP	0.170974956145728	1.18646103509238	0.256325661782475	0.667022392361252	0.504757830318009	0.717907815201282	1.96082248721278
LIHC	0.245865909983282	1.27872809737342	0.168525840305127	1.45892113362631	0.144586815685364	0.919028019953551	1.77921185373095
LUAD	0.407628227883982	1.50324819151082	0.124680124576173	3.26939220881948	0.00107778793265504	1.17734237535059	1.91936956707913
LUSC	0.0180229350247495	1.01818632825064	0.105406623862759	0.170984842928045	0.864235683676202	0.828142323172663	1.25184206872178
PAAD	0.310492232646204	1.36409640168528	0.20182192881251	1.5384464635389	0.123939489016251	0.918446632301076	2.02598488322482
PCPG	1.74688931192549	5.73672971510325	1.29168500622919	1.35241123300268	0.176243797956067	0.456226090585788	72.1354357044609
PRAD	1.00662918850262	2.73636169230429	0.933188406611815	1.07869877226342	0.280722033176209	0.439381826697258	17.0413860022242
READ	0.104560723377006	1.11022280829753	0.421708752667914	0.247945347862735	0.804176692619919	0.48579272208877	2.53728520008338
SARC	0.0121698330161326	1.012244186752	0.170100323605351	0.0715450315330837	0.942963986376521	0.725263185869562	1.41278133728063
STAD	-0.102784555713945	0.902321352521424	0.121117884062985	-0.848632359367292	0.396085894991709	0.711648445120751	1.14408150372329
THCA	0.700940617083292	2.01564776879245	0.782126877884269	0.896198093817472	0.370146973585698	0.435178104998947	9.3360301935407
THYM	1.6461146216789	5.18678799250088	0.932886202778002	1.76453957275497	0.0776411789138766	0.833344016196509	32.2829097662921
UCEC	0.0956490782207265	1.10037285143385	0.171966162141745	0.556208715886132	0.578068181594105	0.785528604620979	1.54140842873175
