	SNP	Chromosome	Position	trait1
1	ENSG00000001084	6	53387262	0.851785554256205
2	ENSG00000023909	1	94350760	0.52799780365063
3	ENSG00000047457	3	148880196	0.0232031986754715
4	ENSG00000057663	6	106632350	0.0271111014108073
5	ENSG00000068366	23	108884565	0.0277906278873694
6	ENSG00000072274	3	195754053	0.0778024023060772
7	ENSG00000078668	8	42249141	0.164399136886445
8	ENSG00000087086	19	49468557	0.957138262497647
9	ENSG00000091513	3	133464799	0.00277139473069056
10	ENSG00000100292	22	35776353	0.987984134701669
11	ENSG00000100983	20	33516235	9.41961350812878e-06
12	ENSG00000101460	20	33134657	0.00206170572127694
13	ENSG00000104635	8	22224799	0.238960596321929
14	ENSG00000110911	12	51373183	0.532768894231017
15	ENSG00000111684	12	7085347	0.387256675016325
16	ENSG00000115107	2	119981383	0.179264363269098
17	ENSG00000123983	2	223725651	0.351707986000111
18	ENSG00000130066	23	23801289	0.38170994525872
19	ENSG00000138449	2	190430238	0.0102893590979395
20	ENSG00000138821	4	103228713	0.263455882483228
21	ENSG00000140941	16	87417600	0.0223679047364257
22	ENSG00000141504	17	7529551	8.10562234126397e-07
23	ENSG00000141510	17	7565096	0.00460157186229788
24	ENSG00000151012	4	139085250	6.49292126820999e-10
25	ENSG00000151726	4	185676748	0.00128164371336028
26	ENSG00000161905	17	4534196	0.361155526584305
27	ENSG00000164398	5	131142682	0.0185131803876559
28	ENSG00000165168	23	37639263	0.506213259555372
29	ENSG00000165637	10	76969911	0.958036270302822
30	ENSG00000167468	19	1103935	0.0735240020032766
31	ENSG00000167996	11	61727189	0.820524416284102
32	ENSG00000168003	11	62623517	0.00119254931093291
33	ENSG00000169564	2	70314584	0.0118413600203228
34	ENSG00000171867	20	4666881	0.00818673413098843
35	ENSG00000181867	5	121187649	0.586807824852519
36	ENSG00000197111	12	53845885	0.293918553431137
37	ENSG00000197142	10	114133775	0.0744426084999074
38	ENSG00000197548	3	11314101	0.75212236468936
39	ENSG00000197769	1	242158791	3.82513562657142e-05
