	SNP	Chromosome	Position	trait1
1	ENSG00000171867	20	4666881	1.28384385615012e-05
2	ENSG00000151012	4	139085250	3.51558500881135e-11
3	ENSG00000072274	3	195754053	3.63656804936117e-06
4	ENSG00000123983	2	223725651	0.000377102982802321
5	ENSG00000167996	11	61727189	9.63215203513731e-05
6	ENSG00000138449	2	190430238	7.5743625613872e-05
7	ENSG00000168003	11	62623517	0.000647979037960673
8	ENSG00000165637	10	76969911	0.000311747266048105
9	ENSG00000047457	3	148880196	0.014059164072295
10	ENSG00000164398	5	131142682	9.05207494779631e-05
11	ENSG00000057663	6	106632350	0.00157831645931269
12	ENSG00000197769	1	242158791	0.00602105083634059
13	ENSG00000087086	19	49468557	0.0294869261188048
14	ENSG00000104635	8	22224799	0.00146843502149567
15	ENSG00000023909	1	94350760	0.00350682249864146
16	ENSG00000115107	2	119981383	2.96697256244563e-05
17	ENSG00000141510	17	7565096	0.00477447777353449
18	ENSG00000167468	19	1103935	0.0365006103588556
20	ENSG00000141504	17	7529551	0.00238162392726836
21	ENSG00000165168	23	37639263	0.0964246729009128
22	ENSG00000197111	12	53845885	0.0423022668412719
23	ENSG00000130066	23	23801289	0.0147467716547743
24	ENSG00000138821	4	103228713	0.0529510068242541
25	ENSG00000078668	8	42249141	0.215554062808217
26	ENSG00000101460	20	33134657	0.00336617838334351
27	ENSG00000068366	23	108884565	0.209432770245517
28	ENSG00000161905	17	4534196	0.0275475408780502
29	ENSG00000197142	10	114133775	0.000885364520616559
30	ENSG00000100292	22	35776353	0.350881174890036
31	ENSG00000091513	3	133464799	0.116636116240254
32	ENSG00000169564	2	70314584	0.567003416677887
33	ENSG00000197548	3	11314101	0.409183899428597
34	ENSG00000110911	12	51373183	0.295570501793146
35	ENSG00000181867	5	121187649	0.642923208459826
36	ENSG00000111684	12	7085347	0.758803166828835
37	ENSG00000001084	6	53387262	0.574973093188374
38	ENSG00000100983	20	33516235	0.396167137508621
39	ENSG00000151726	4	185676748	0.462271837231605
40	ENSG00000140941	16	87417600	0.433019717126654
